sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings
gen_0	99	True	False	False	False	True	0.10030699988824114	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_1	104	True	False	False	False	True	0.14151541200516327	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_2	345	True	False	False	False	True	0.029159583959652062	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	False	length_above_maximum	
gen_3	105	True	False	False	False	True	0.14947663744438766	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_4	95	True	False	False	False	True	0.15573158322030595	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_5	101	True	False	False	False	True	0.13988422286524527	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_6	86	True	False	False	False	True	0.013809845369544497	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True		
gen_7	93	True	False	False	False	True	0.13593152048314522	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_8	114	True	False	False	False	True	0.05651553479762744	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True		
gen_9	84	True	False	False	False	True	0.10334225402364491	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_10	111	True	False	False	False	True	0.18056288321881653	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_11	113	True	False	False	False	True	0.12564040686543193	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_12	97	True	False	False	False	True	0.13761446874432084	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_13	89	True	False	False	False	True	0.13433566793959034	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_14	294	True	False	False	False	True	0.05588851682776234	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	False	length_above_maximum	
gen_15	102	True	False	False	False	True	0.1110982314652384	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_16	95	True	False	False	False	True	0.15694409006835225	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_17	115	True	False	False	False	True	0.10023044195465178	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_18	126	True	False	False	False	True	0.10582852333575951	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 15, ""end"": 21, ""length"": 7, ""residue"": ""A""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning
gen_19	98	True	False	False	False	True	0.128767681557407	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_20	81	True	False	False	False	True	0.11656621087591554	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_21	109	True	False	False	False	True	0.12208180664869493	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_22	112	True	False	False	False	True	0.10858195345227185	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_23	99	True	False	False	False	True	0.07532163822946997	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
gen_24	105	True	False	False	False	True	0.15056711669451966	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning
