sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	score_ready	score_exclusion_reason	ranking_eligible	exclusion_reason
vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	True	False	eos	85	84	True	False	False	False	True	0.017018031926	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	308	94	82	72	0.878048780488	0.97619047619	0.891304347826	0.782608695652	0.217391304348	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	vae_candidate_000857	0.7717372826	0.2282627174	True	0.217391304348		sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	0	1	0	1	0	84	True		True	
vae_candidate_000002	84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	True	False	eos	90	89	True	False	False	False	True	0.0422806204272	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	89	nat_75679c0d4db585656573	"[""nat_75679c0d4db585656573""]"	1	92	212	102	79	56	0.708860759494	0.887640449438	0.858695652174	0.608695652174	0.391304347826	resolved		346	184	True	no_extra_domain_evidence		1	0	PF00741:20-58	no_extra_tm_evidence	0		base:manual_review	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	1	1	0	1	1	89			False	family_not_supported_gvpa
vae_candidate_000003	47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	True	False	eos	117	116	True	False	False	False	True	0.0153114153266	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	116	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_05d62502987d9405b8af"", ""nat_4dc9c1477d3d6b181da7"", ""nat_8f3e753527c876cd94f0""]"	4	94	328	117	93	80	0.860215053763	0.801724137931	0.989361702128	0.689655172414	0.310344827586	resolved		346	102	True	no_extra_domain_evidence		1	0	PF00741:31-67	no_extra_tm_evidence	0		base:manual_review	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	2	1	0	1	2	116			False	family_not_supported_gvpa
vae_candidate_000004	63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	True	False	eos	98	97	True	False	False	False	True	0.0503519399095	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	97		[]	0											unresolved	no_reliable_reference	346	0	True	no_pfam_hit		0	0		no_extra_tm_evidence	0		base:manual_review;domain:no_pfam_hit_unresolved	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	3	1	0	1	3	97			False	family_not_supported_gvpa
vae_candidate_000005	610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	True	False	eos	93	92	True	False	False	False	True	0.0243565505542	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	92	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	2	94	232.5	110	76	61	0.802631578947	0.826086956522	0.808510638298	0.648936170213	0.351063829787	resolved		346	154	True	no_extra_domain_evidence		1	0	PF00741:10-48	no_extra_tm_evidence	0		base:manual_review	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	4	1	0	1	4	92			False	family_not_supported_gvpa
vae_candidate_000006	33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	True	False	eos	79	78	True	False	False	False	True	0.044130169912	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	78	nat_34e09ae9d7236edc844b	"[""nat_34e09ae9d7236edc844b""]"	1	85	192	89	74	48	0.648648648649	0.948717948718	0.870588235294	0.564705882353	0.435294117647	resolved		346	137	True	no_extra_domain_evidence		1	0	PF00741:9-47	no_extra_tm_evidence	0		base:manual_review	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	5	1	0	1	5	78			False	family_not_supported_gvpa
vae_candidate_000007	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	True	False	eos	55	54	True	False	False	False	True	0.193359299824	0.063818297288	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 2, ""end"": 7, ""length"": 6, ""residue"": ""T""}, {""start"": 27, ""end"": 34, ""length"": 8, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail	54		[]	0											unresolved	no_reliable_reference	346	0	True	no_pfam_hit		0	0		no_extra_tm_evidence	0		base:manual_review;domain:no_pfam_hit_unresolved	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	6	1	0	1	6	54			False	family_not_supported_gvpa
vae_candidate_000008	8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	True	False	eos	113	112	True	False	False	False	True	0.0432997709914	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	112	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	54.5	133	90	37	0.411111111111	0.803571428571	0.810810810811	0.330357142857	0.669642857143	resolved		346	1	True	no_pfam_hit		0	0		no_extra_tm_evidence	0		base:manual_review;domain:no_pfam_hit_unresolved	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	7	1	0	1	7	112			False	family_not_supported_gvpa
vae_candidate_000009	196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	True	False	eos	78	77	True	False	False	False	True	0.0426484125741	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	77	nat_2dee131e85e06a8f9fdd	"[""nat_2dee131e85e06a8f9fdd""]"	1	76	152	89	64	37	0.578125	0.831168831169	0.842105263158	0.480519480519	0.519480519481	resolved		346	18	True	no_extra_domain_evidence		1	0	PF00741:23-59	no_extra_tm_evidence	0		base:manual_review	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	8	1	0	1	8	77			False	family_not_supported_gvpa
vae_candidate_000010	3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	True	False	eos	90	89	True	False	False	False	True	0.0351956583682	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	89	nat_dc6aa26cbe06c32b68c2	"[""nat_dc6aa26cbe06c32b68c2""]"	1	94	96	101	82	41	0.5	0.921348314607	0.872340425532	0.436170212766	0.563829787234	resolved		346	180	True	no_pfam_hit		0	0		no_extra_tm_evidence	0		base:manual_review;domain:no_pfam_hit_unresolved	True							False																				False			sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	9	1	0	1	9	89			False	family_not_supported_gvpa
