reference_id	annotated_family	cluster_id	fold	reviewed_anchor	profile_representative
nat_49cef355c6ba3187ae5c	gvpa	cluster_04e4c15b93bd18832d36	2	True	False
nat_2d8e972f7b8e0b149992	gvpj	cluster_2d8e972f7b8e0b149992	0	True	True
nat_766d45336d56f5b42f24	gvpa	cluster_04e4c15b93bd18832d36	2	True	False
nat_e4530a471497a647eef2	gvpa	cluster_044b97bbcc6fc75d19af	0	True	False
nat_39696a92cfeac6f208a2	gvpa	cluster_04e4c15b93bd18832d36	2	True	True
nat_bf0dfc6c51956e5d54f7	gvpa	cluster_04e4c15b93bd18832d36	2	True	False
nat_626bf126ff6a42e860e1	gvpa	cluster_00eda75e8d86c0000a3e	0	True	True
nat_83cf4bae954290aa781d	gvpa	cluster_044b97bbcc6fc75d19af	0	True	False
nat_9246ded62fef238baf63	gvpa	cluster_044b97bbcc6fc75d19af	0	True	False
nat_ff88219e90de45ec84dd	gvpj	cluster_b0f226cab132da339d39	2	True	True
nat_278c7a3fd12af0319695	gvpa	cluster_02e83ad46b86e8eaf5e7	0	True	True
nat_cc9d0eca2af440c02e36	gvpj	cluster_cc9d0eca2af440c02e36	0	True	True
nat_3fb1b2844ab87a8f4a72	gvpa	cluster_2020b232078a08b4fb2b	0	True	True
nat_7cb4140e283c8e67ca6a	gvpj	cluster_04c084aa7034f2b0643c	1	True	True
nat_0739506f322325ee29fe	gvpa	cluster_0739506f322325ee29fe	0	True	True
nat_130e62fc868ae20abbc4	gvpa	cluster_08d35b42e1d455774e7b	2	True	True
nat_b1ead8162da63f55d1d6	gvpa	cluster_08d35b42e1d455774e7b	2	True	False
nat_5bc7120641a4b206dec6	gvpa	cluster_02e83ad46b86e8eaf5e7	0	True	False
nat_307aae2a7a20a7f3cf48	gvpa	cluster_10816d30b94e7e319ed1	1	True	True
nat_d790919b750d218eb5d2	gvpj	cluster_8cc50c0228caae3ad7f4	1	True	True
nat_45ceddea54f47745a1ad	gvpa	cluster_044b97bbcc6fc75d19af	0	True	True
nat_68d2bce649ad98618d0c	gvpj	cluster_68d2bce649ad98618d0c	2	True	True
