sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance
vae_candidate_000001	84	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	0.2340442553	0.4006221882	vae_candidate_000857	0.7717372826	0.2282627174
vae_candidate_000018	98	detected	48.9	4.2e-15	2.2e-15	49.8	1	True	0.3606557377	1	39	12	52	23	23	23	1	1	nat_67dd37821af98e87666e	0.60396	0.6224485714	1	1	2.19e-33	0.3775514286	0.5091714657	vae_candidate_000913	0.6326530612	0.3673469388
vae_candidate_000020	107	detected	45.9	3.8e-14	6e-16	51.6	1	True	0.2786885246	1	39	12	54	23	23	23	1	1	nat_acb38079c01f07d0de6f	0.80189	0.7943957009	0.9906542056	1	2.96e-44	0.2056042991	0.3967373098	vae_candidate_000967	0.8037375701	0.1962624299
vae_candidate_000029	90	detected	59.7	1.9e-18	1.3e-18	60.2	1	True	0.9590163934	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.89773	0.8586982609	0.9777777778	0.9565217391	7.53e-54	0.1413017391	0.3893334186	vae_candidate_000857	0.84783	0.15217
vae_candidate_000032	97	detected	42.9	3.2e-13	2.2e-13	43.4	1	True	0.09016393443	1	39	14	52	23	23	22	1	0.9565217391	nat_0ae199fc6d044a2da135	0.75581	0.6700995876	0.8865979381	0.9052631579	3.97e-44	0.3299004124	0.5052538243	vae_candidate_000121	0.6597913402	0.3402086598
vae_candidate_000034	92	detected	59.2	2.6e-18	1.9e-18	59.6	1	True	0.9098360656	1	39	8	46	23	23	23	1	1	nat_a36a3359d46f89a3e9c6	0.91011	0.8709654839	0.9673913043	0.9569892473	1.26e-41	0.1290345161	0.3679950275	vae_candidate_000070	0.8913055435	0.1086944565
vae_candidate_000050	70	detected	57.1	1.2e-17	9.6e-18	57.4	1	True	0.737704918	1	39	11	49	23	23	23	1	1	nat_ea5746ec582bf06f4e03	0.82258	0.7083327778	0.8857142857	0.8611111111	8.6e-36	0.2916672222	0.4401555376	vae_candidate_000792	0.797292973	0.202707027
vae_candidate_000058	86	detected	58.7	3.7e-18	2.8e-18	59.1	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.78652	0.7368450526	1	0.9368421053	5.73e-43	0.2631549474	0.4163191808	vae_candidate_000905	0.7499967391	0.2500032609
vae_candidate_000061	110	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	0.5586184828	0.6955816265	vae_candidate_000894	0.4460418705	0.5539581295
vae_candidate_000065	81	detected	52.6	2.9e-16	2.9e-16	52.6	1	True	0.4918032787	1	39	12	51	23	23	23	1	1	nat_64b87c36790fe3acd4ba	0.70833	0.7234008511	1	1	6.9e-36	0.2765991489	0.4302064776	vae_candidate_000582	0.7558131395	0.2441868605
vae_candidate_000070	91	detected	60	1.4e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	8	46	23	23	23	1	1	nat_a49cfe7d33cec22c3905	0.93684	0.93684	1	1	2.33e-58	0.06316	0.3493738905	vae_candidate_000623	0.91398	0.08602
vae_candidate_000088	101	detected	43.8	1.7e-13	1.1e-13	44.3	1	True	0.237704918	1	39	12	52	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.69565	0.6336613861	0.9108910891	0.9684210526	1.28e-35	0.3663386139	0.4900680884	vae_candidate_000995	0.6336665347	0.3663334653
vae_candidate_000090	93	detected	59.1	2.7e-18	2.1e-18	59.5	1	True	0.893442623	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.8172	0.8172	1	1	2.68e-51	0.1828	0.3880776711	vae_candidate_000135	0.8279604301	0.1720395699
vae_candidate_000095	121	detected	53.2	1.9e-16	3.8e-17	55.5	1	True	0.5163934426	1	39	11	49	23	23	23	1	1	nat_200ecff40f6b83ca60f9	0.55102	0.4462806612	0.8099173554	1	2.86e-26	0.5537193388	0.6137821126	vae_candidate_000948	0.5289292562	0.4710707438
vae_candidate_000108	108	detected	49.3	3.1e-15	1.8e-15	50.1	1	True	0.3606557377	1	39	13	49	23	23	23	1	1	nat_004ac783975534947324	0.61538	0.5925881481	0.962962963	1	1.72e-31	0.4074118519	0.5340798557	vae_candidate_000293	0.5833359259	0.4166640741
vae_candidate_000118	70	detected	57	1.3e-17	1e-17	57.3	1	True	0.7295081967	1	39	10	48	23	23	23	1	1	nat_a4ce46bc0db75edd2892	0.74286	0.6842131579	1	0.9210526316	1.03e-33	0.3157868421	0.4773671023	vae_candidate_000792	0.7702735135	0.2297264865
vae_candidate_000121	96	detected	52.3	3.6e-16	2.4e-16	52.9	1	True	0.4918032787	1	39	11	49	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.89691	0.9062528125	1	1	6.81e-47	0.0937471875	0.3680686343	vae_candidate_000070	0.84375	0.15625
vae_candidate_000128	117	detected	56.1	2.4e-17	1.7e-17	56.6	1	True	0.6967213115	1	39	10	48	23	23	23	1	1	nat_842bc418f0682cd2a9c8	0.92045	0.6923042735	0.7521367521	0.9263157895	1.75e-46	0.3076957265	0.4855500749	vae_candidate_000772	0.7179487179	0.2820512821
vae_candidate_000133	102	detected	52.2	4e-16	3.1e-16	52.5	1	True	0.4836065574	1	39	10	48	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.70707	0.6862738235	0.9705882353	1	1.12e-38	0.3137261765	0.4648454095	vae_candidate_000914	0.6568673529	0.3431326471
vae_candidate_000135	93	detected	55.6	3.5e-17	2.6e-17	56	1	True	0.6393442623	1	39	12	50	23	23	23	1	1	nat_05d62502987d9405b8af	0.96774	0.9473665263	1	0.9789473684	3.84e-62	0.05263347368	0.3421858043	vae_candidate_000841	0.90526	0.09474
vae_candidate_000136	95	detected	57.1	1.2e-17	9e-18	57.5	1	True	0.737704918	1	39	8	46	23	23	23	1	1	nat_a36a3359d46f89a3e9c6	0.90323	0.8842146316	0.9789473684	1	1.29e-43	0.1157853684	0.3905520243	vae_candidate_000967	0.87368	0.12632
vae_candidate_000140	108	detected	44.5	9.9e-14	6.8e-14	45	1	True	0.2540983607	1	39	28	67	23	23	23	1	1	nat_0ae199fc6d044a2da135	0.75532	0.6574081481	0.8703703704	0.9894736842	1.3e-40	0.3425918519	0.4915777198	vae_candidate_000857	0.6574081481	0.3425918519
vae_candidate_000143	92	detected	42.4	4.4e-13	2.8e-13	43.1	0.8205128205	False	0.06371540453	8	39	14	45	23	22	22	0.9565217391	0.9565217391	nat_ee10b37a92559cba1989	0.65	0.5652173913	0.8695652174	0.8695652174	6.68e-31	0.4347826087	0.5624975704	vae_candidate_000905	0.58696	0.41304
vae_candidate_000149	121	detected	55.8	2.9e-17	2.2e-17	56.2	1	True	0.6557377049	1	39	10	48	23	23	22	1	0.9565217391	nat_75679c0d4db585656573	0.58333	0.5206581818	0.8925619835	1	9.84e-32	0.4793418182	0.6105106095	vae_candidate_000343	0.5619864463	0.4380135537
vae_candidate_000151	73	detected	55.1	5e-17	3.6e-17	55.5	0.9487179487	False	0.5975531515	3	39	15	51	23	23	23	1	1	nat_1ed909a554bd91f8870f	0.74648	0.7260284932	0.9726027397	0.9726027397	2.74e-31	0.2739715068	0.5307493414	vae_candidate_000792	0.7297310811	0.2702689189
vae_candidate_000153	104	detected	41.9	6.5e-13	4.5e-13	42.4	0.8205128205	False	0.02123846818	8	39	16	47	23	22	22	0.9565217391	0.9565217391	nat_2257aec2c4abeff42ec4	0.5	0.5	1	1	1.25e-23	0.5	0.5990502535	vae_candidate_000388	0.5961538462	0.4038461538
vae_candidate_000157	99	detected	57.1	1.2e-17	9.1e-18	57.4	1	True	0.737704918	1	39	12	50	23	23	23	1	1	nat_a7791ad55c70e7fd3462	0.90909	0.90909	1	1	4.41e-52	0.09091	0.3740556356	vae_candidate_000750	0.8484848485	0.1515151515
vae_candidate_000160	121	detected	58.4	4.7e-18	7.8e-22	70.5	1	True	0.8524590164	1	39	12	50	23	23	23	1	1	nat_75679c0d4db585656573	0.61261	0.5619810744	0.9173553719	1	9.36e-36	0.4380189256	0.5711403589	vae_candidate_000948	0.5867771901	0.4132228099
vae_candidate_000179	91	detected	55.9	2.7e-17	2.1e-17	56.3	1	True	0.6803278689	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.70732	0.6304373913	0.9010989011	0.8913043478	2.91e-34	0.3695626087	0.4947569651	vae_candidate_000836	0.6263763736	0.3736236264
vae_candidate_000191	94	detected	45.8	4.1e-14	3e-14	46.2	0.8717948718	False	0.2557465543	6	39	15	48	23	23	23	1	1	nat_4482775e0979509e45d2	0.84375	0.8526315789	1	1	1.65e-42	0.1473684211	0.4092439983	vae_candidate_000967	0.8210526316	0.1789473684
vae_candidate_000200	88	detected	52.7	2.8e-16	2.2e-16	53	1	True	0.5	1	39	13	51	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.80899	0.7826098913	1	0.9673913043	1.04e-45	0.2173901087	0.4310423214	vae_candidate_000344	0.76135875	0.23864125
vae_candidate_000212	111	detected	58.6	3.9e-18	2.9e-18	59	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.62963	0.612612973	0.972972973	1	3.09e-37	0.387387027	0.4989317824	vae_candidate_000715	0.6306312613	0.3693687387
vae_candidate_000216	100	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	0.4199962	0.5533641078	vae_candidate_000536	0.5599969	0.4400031
vae_candidate_000219	97	detected	58.5	4.2e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.90323	0.8659834021	0.9587628866	0.9789473684	1.26e-51	0.1340165979	0.3735648161	vae_candidate_000070	0.8247470103	0.1752529897
