selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	pareto_rank	crowding_distance
1	vae_candidate_000061	110	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	0.5586184828	0.6955816265	vae_candidate_000894	0.4460418705	0.5539581295	0	inf
2	vae_candidate_000293	93	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	0.351062766	0.503451581	vae_candidate_000536	0.6559143011	0.3440856989	0	inf
3	vae_candidate_000881	111	detected	54.4	7.9e-17	5.7e-17	54.9	1	True	0.5655737705	1	39	10	48	23	22	18	0.9565217391	0.7826086957	nat_7801d96d034213cf08c8	0.53846	0.4414401802	0.8198198198	1	3.7e-21	0.5585598198	0.6821060827	vae_candidate_000058	0.4414418919	0.5585581081	0	inf
4	vae_candidate_000894	139	detected	41.5	8.6e-13	6.2e-13	42	1	True	0.01639344262	1	39	17	55	23	23	23	1	1	nat_d69494036b1115ae54ae	0.80537	0.7692316026	1	0.9551282051	7.74e-75	0.2307683974	0.7432654618	vae_candidate_000785	0.5035956835	0.4964043165	0	inf
5	vae_candidate_000959	108	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	0.38889	0.5340109649	vae_candidate_000020	0.6018566667	0.3981433333	0	inf
6	vae_candidate_000228	124	detected	59.3	2.4e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	17	55	23	23	23	1	1	nat_dca06c4ca76aafac96e9	0.60577	0.5080651613	0.8387096774	1	3.79e-36	0.4919348387	0.5727150473	vae_candidate_000731	0.5359968	0.4640032	0	1.104591256
7	vae_candidate_000095	121	detected	53.2	1.9e-16	3.8e-17	55.5	1	True	0.5163934426	1	39	11	49	23	23	23	1	1	nat_200ecff40f6b83ca60f9	0.55102	0.4462806612	0.8099173554	1	2.86e-26	0.5537193388	0.6137821126	vae_candidate_000948	0.5289292562	0.4710707438	0	0.9933854486
8	vae_candidate_000620	149	detected	56.2	2.2e-17	1.5e-17	56.7	1	True	0.6967213115	1	39	9	47	23	23	23	1	1	nat_8d5392221648a605a7c2	0.45638	0.45638	1	1	3.94e-31	0.54362	0.6858968282	vae_candidate_000121	0.4093922819	0.5906077181	0	0.6029785213
9	vae_candidate_000352	72	detected	60.2	1.2e-18	9.8e-19	60.5	1	True	0.9836065574	1	39	10	48	23	23	22	1	0.9565217391	nat_9f8db13e803cecc901b7	0.90164	0.7638894444	0.8472222222	0.8714285714	1.8e-33	0.2361105556	0.5239458345	vae_candidate_000318	0.6623411688	0.3376588312	1	inf
10	vae_candidate_000593	124	detected	49.7	2.4e-15	2.4e-15	49.7	1	True	0.3852459016	1	39	12	50	23	23	20	1	0.8695652174	nat_67dd37821af98e87666e	0.53774	0.4596809677	0.8548387097	1	1.28e-26	0.5403190323	0.6408147683	vae_candidate_000160	0.5161304032	0.4838695968	1	inf
