sample	weight_constraint_score	weight_conservation_score	weight_novelty_score	weight_uniqueness_score	top_k_jaccard	rank_spearman
1	0.2575919263	0.2264763335	0.2654518427	0.2504798974	1	0.999594485
2	0.1972474915	0.2802695029	0.2600676969	0.2624153087	0.9047619048	0.9736701493
3	0.2154819914	0.2481136503	0.2400549818	0.2963493765	0.9047619048	0.987872716
4	0.2608061739	0.2784535605	0.2410325336	0.219707732	0.9047619048	0.9949668432
5	0.2534889302	0.2047905519	0.2805830538	0.2611374641	0.9047619048	0.9961738467
6	0.2512735947	0.2145073905	0.2706433013	0.2635757135	0.9047619048	0.9972520395
7	0.2929688127	0.2314153885	0.2601053182	0.2155104806	0.9047619048	0.9923286103
8	0.2042055985	0.2543268299	0.2601766387	0.2812909329	0.9047619048	0.9736462955
9	0.2486101265	0.2533811429	0.2639736387	0.234035092	0.9047619048	0.9997471495
10	0.2241468222	0.2605360763	0.2343535443	0.2809635572	0.9047619048	0.9954486904
11	0.2370202732	0.2754863801	0.2626088129	0.2248845338	0.9047619048	0.999107867
12	0.2746345693	0.2719684299	0.2315056323	0.2218913685	0.9047619048	0.990692238
13	0.2970806822	0.2369730449	0.2436351631	0.2223111098	0.9047619048	0.9889079719
14	0.2548005625	0.243639728	0.24732557	0.2542341396	1	0.9996612757
15	0.2649127346	0.2767448408	0.2305322858	0.2278101388	0.9047619048	0.9927579791
16	0.2548682639	0.236022823	0.2450144458	0.2640944672	1	0.9998043986
17	0.2621230782	0.2540507226	0.2546106177	0.2292155815	0.9047619048	0.9983445446
18	0.2233963645	0.2680465952	0.243611296	0.2649457443	0.9047619048	0.9955679595
19	0.3026831693	0.2369717373	0.2183405503	0.242004543	0.9047619048	0.981727971
20	0.2227559833	0.2585278359	0.248341368	0.2703748128	0.9047619048	0.9932684509
21	0.2650611547	0.239401133	0.2799548481	0.2155828643	0.9047619048	0.9991555746
22	0.217566186	0.2248089324	0.2928213801	0.2648035015	0.8181818182	0.9743714517
23	0.2272403912	0.2629647963	0.2262983531	0.2834964593	0.9047619048	0.9976289299
24	0.2506571624	0.2439827864	0.2358355005	0.2695245507	1	0.9997662325
25	0.247845721	0.2190754241	0.2222609438	0.3108179111	1	0.9985353752
26	0.2682367477	0.2489738943	0.2089643211	0.2738250369	0.9047619048	0.9945613282
27	0.2719667712	0.2659122311	0.2397281952	0.2223928025	0.9047619048	0.9928104575
28	0.2170821256	0.3005656433	0.2542966206	0.2280556105	0.9047619048	0.996126139
29	0.2324889768	0.2600396349	0.2194645258	0.2880068624	0.9047619048	0.9987977673
30	0.2617840855	0.2580776084	0.2308061427	0.2493321634	0.9047619048	0.9965698201
31	0.2654659811	0.2722203787	0.2141362531	0.2481773871	0.9047619048	0.9922188827
32	0.2265944895	0.2768028278	0.2585864258	0.238016257	0.9047619048	0.9969085444
33	0.2149233079	0.2644025609	0.2217887053	0.2988854259	0.9047619048	0.9918181384
34	0.270504688	0.2459605759	0.2715374603	0.2119972757	0.9047619048	0.9978579266
35	0.2870623998	0.2408523643	0.2700025907	0.2020826452	0.9047619048	0.9936024045
36	0.2371199905	0.2375060584	0.280141977	0.2452319741	0.9047619048	0.9946996804
37	0.2578510466	0.2363228429	0.2430564311	0.2627696794	1	0.9995372358
38	0.2395087059	0.1985286063	0.2775506746	0.2844120132	0.9047619048	0.9878774868
39	0.2258813995	0.2695523906	0.2225386016	0.2820276084	0.9047619048	0.9980201326
40	0.2185864824	0.2548243161	0.2612990236	0.2652901779	0.9047619048	0.9886312676
41	0.2268490898	0.3138405762	0.2400304529	0.2192798811	0.9047619048	0.9984542722
42	0.241849392	0.2244380526	0.2678757138	0.2658368416	0.9047619048	0.9956633748
43	0.229965844	0.2930622777	0.2273635197	0.2496083585	0.9047619048	0.9992796145
44	0.2399573034	0.3122943262	0.2302400233	0.2175083471	0.9047619048	0.9959877868
45	0.2200171959	0.2703687222	0.2612703756	0.2483437063	0.9047619048	0.9922809026
46	0.2722276359	0.2724775786	0.2372023792	0.2180924064	0.9047619048	0.9915175803
47	0.2799504096	0.2688058511	0.2397198677	0.2115238716	0.9047619048	0.9898335003
48	0.2696358578	0.2220921761	0.2882893287	0.2199826375	0.9047619048	0.9993177806
49	0.2285872483	0.3048657812	0.2318744541	0.2346725165	0.9047619048	0.9987929965
50	0.2604408474	0.2880119759	0.2200681283	0.2314790485	0.9047619048	0.9919135537
51	0.2672156618	0.2859210707	0.2405976982	0.2062655692	0.9047619048	0.9917418062
52	0.2224588536	0.2462871976	0.2354805013	0.2957734475	0.9047619048	0.9917084109
53	0.214249873	0.2530741085	0.2720504014	0.260625617	0.9047619048	0.9837030676
54	0.2103379592	0.268124538	0.2596415656	0.2618959371	0.9047619048	0.9857544964
55	0.2224497247	0.2216873046	0.3055926021	0.2502703687	0.8181818182	0.9775249272
56	0.2210745796	0.2391025378	0.2558473331	0.2839755495	0.9047619048	0.9877773007
57	0.2335178557	0.2987146536	0.2068016474	0.2609658433	1	0.9977195744
58	0.2832436447	0.2264569826	0.2301607125	0.2601386603	0.9047619048	0.9943466438
59	0.2625063302	0.2297452201	0.2595674192	0.2481810304	1	0.9995372358
60	0.263071596	0.2969107675	0.2151412424	0.2248763941	0.9047619048	0.9874528887
61	0.2723313077	0.2691924621	0.2148907273	0.2435855029	0.9047619048	0.9903296598
62	0.2484419984	0.2733931202	0.2481647038	0.2300001777	0.9047619048	0.9989790563
63	0.2300680123	0.2350777613	0.2569828155	0.277871411	0.9047619048	0.9919994275
64	0.2533862259	0.232109013	0.2309548697	0.2835498915	1	0.9995897142
65	0.2939179774	0.2196925149	0.2156520399	0.2707374678	0.9047619048	0.9900291017
66	0.227709625	0.2996977179	0.2451272019	0.2274654552	0.9047619048	0.9989218072
67	0.3066688574	0.2273563342	0.2398697637	0.2261050447	0.9047619048	0.9844091408
68	0.2528471673	0.2415712366	0.2456645464	0.2599170496	1	0.9998950432
69	0.2112778315	0.2666095565	0.275825721	0.246286891	0.9047619048	0.983917752
70	0.2197428334	0.2374261456	0.2725470917	0.2702839294	0.9047619048	0.9837793998
71	0.2345827362	0.2504272626	0.2567693347	0.2582206665	0.9047619048	0.996836983
72	0.2732341526	0.2567661141	0.2177656746	0.2522340587	0.9047619048	0.9921425505
73	0.2653552735	0.2209763531	0.2979186889	0.2157496845	0.9047619048	0.9991651162
74	0.2715684441	0.1949004136	0.2640228976	0.2695082447	1	0.9993368637
75	0.2659486251	0.2501014442	0.2480888388	0.2358610919	0.9047619048	0.9973713086
76	0.2789081823	0.2142298875	0.2545271874	0.2523347428	0.9047619048	0.997991508
77	0.2762267219	0.2380660789	0.2305542677	0.2551529315	0.9047619048	0.9947664711
78	0.2436795736	0.2300579277	0.266409817	0.2598526816	0.9047619048	0.9968656076
79	0.2402170436	0.2547363366	0.2546158972	0.2504307226	0.9047619048	0.9989122656
80	0.2307707792	0.260475075	0.2227610739	0.2859930719	0.9047619048	0.9984495015
81	0.2842152369	0.2417792871	0.2269124697	0.2470930063	0.9047619048	0.99182768
82	0.2628244737	0.2447428708	0.2587492206	0.2336834348	0.9047619048	0.9989313487
83	0.2670743097	0.2321028103	0.2774183648	0.2234045151	0.9047619048	0.9992175946
84	0.2615800998	0.2776858019	0.2069600936	0.2537740048	0.9047619048	0.9920853013
85	0.2128893115	0.2769685939	0.2118119549	0.2983301398	0.9047619048	0.9941128763
86	0.2037401204	0.2820437826	0.2669834201	0.2472326768	0.9047619048	0.9825342302
87	0.2581966726	0.2593556743	0.2733586558	0.2090889973	0.9047619048	0.9990506178
88	0.2734287092	0.2211698116	0.2761829534	0.2292185258	0.9047619048	0.9989074949
89	0.2533034865	0.2540421695	0.2435300836	0.2491242604	1	0.9993368637
90	0.2594036134	0.26271864	0.2338970579	0.2439806886	0.9047619048	0.9970135013
91	0.3166924316	0.2290172237	0.2287330745	0.2255572702	0.9047619048	0.9769572062
92	0.2525999922	0.2298614986	0.2636680269	0.2538704823	0.9047619048	0.9992223653
93	0.2273377036	0.2823523029	0.2691196233	0.2211903701	0.9047619048	0.9971375411
94	0.2631550431	0.2576172106	0.2401608593	0.239066887	0.9047619048	0.9968512953
95	0.2799768375	0.2324683349	0.2272634125	0.260291415	0.9047619048	0.9943991222
96	0.2375141494	0.2731596889	0.2586614721	0.2306646896	0.9047619048	0.9992032823
97	0.2154070997	0.270725724	0.2463536585	0.2675135178	0.9047619048	0.9907828825
98	0.2177710603	0.2930233746	0.2710805679	0.2181249972	0.9047619048	0.9942130624
99	0.2657083091	0.2757523104	0.2065812389	0.2519581416	0.9047619048	0.9912933543
100	0.2819303966	0.2290406995	0.2453243985	0.2437045054	0.9047619048	0.9948761987
101	0.2276374691	0.2886045534	0.2750420093	0.2087159682	0.9047619048	0.9973665379
102	0.2725310392	0.2618159162	0.2076839313	0.2579691132	0.9047619048	0.9911836267
103	0.2021257095	0.2877851076	0.2557911235	0.2542980593	0.9047619048	0.9840847288
104	0.2258153399	0.3129457694	0.2191782845	0.2420606062	0.9047619048	0.9982777539
105	0.2136903436	0.2768840123	0.2191928239	0.2902328203	0.9047619048	0.9939697534
106	0.3035902759	0.2327170892	0.2292045676	0.2344880672	0.9047619048	0.9839225228
107	0.2482928675	0.2669255272	0.2132895847	0.2714920207	1	0.9980249034
108	0.1948486957	0.2652905308	0.2773032586	0.2625575149	0.9047619048	0.9585611374
109	0.2759369286	0.290240359	0.2086463612	0.2251763512	0.9047619048	0.981260436
110	0.2123935063	0.2503365763	0.2743910936	0.2628788238	0.9047619048	0.9808406087
