selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	selected_by_metric	source_metric_rank
1	vae_candidate_000959	108	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	0.38889	0.5340109649	vae_candidate_000020	0.6018566667	0.3981433333	constraint_score	1
2	vae_candidate_000001	84	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	0.2340442553	0.4006221882	vae_candidate_000857	0.7717372826	0.2282627174	conservation_score	1
3	vae_candidate_000061	110	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	0.5586184828	0.6955816265	vae_candidate_000894	0.4460418705	0.5539581295	novelty_score	1
4	vae_candidate_000894	139	detected	41.5	8.6e-13	6.2e-13	42	1	True	0.01639344262	1	39	17	55	23	23	23	1	1	nat_d69494036b1115ae54ae	0.80537	0.7692316026	1	0.9551282051	7.74e-75	0.2307683974	0.7432654618	vae_candidate_000785	0.5035956835	0.4964043165	uniqueness_score	1
5	vae_candidate_000293	93	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	0.351062766	0.503451581	vae_candidate_000536	0.6559143011	0.3440856989	constraint_score	2
6	vae_candidate_000018	98	detected	48.9	4.2e-15	2.2e-15	49.8	1	True	0.3606557377	1	39	12	52	23	23	23	1	1	nat_67dd37821af98e87666e	0.60396	0.6224485714	1	1	2.19e-33	0.3775514286	0.5091714657	vae_candidate_000913	0.6326530612	0.3673469388	conservation_score	2
7	vae_candidate_000881	111	detected	54.4	7.9e-17	5.7e-17	54.9	1	True	0.5655737705	1	39	10	48	23	22	18	0.9565217391	0.7826086957	nat_7801d96d034213cf08c8	0.53846	0.4414401802	0.8198198198	1	3.7e-21	0.5585598198	0.6821060827	vae_candidate_000058	0.4414418919	0.5585581081	novelty_score	2
8	vae_candidate_000620	149	detected	56.2	2.2e-17	1.5e-17	56.7	1	True	0.6967213115	1	39	9	47	23	23	23	1	1	nat_8d5392221648a605a7c2	0.45638	0.45638	1	1	3.94e-31	0.54362	0.6858968282	vae_candidate_000121	0.4093922819	0.5906077181	uniqueness_score	3
9	vae_candidate_000346	115	detected	61.1	6.6e-19	4.5e-19	61.6	1	True	0.9918032787	1	39	25	63	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.63964	0.6173916522	0.9652173913	1	8.65e-37	0.3826083478	0.5005147707	vae_candidate_000574	0.6521711304	0.3478288696	constraint_score	3
10	vae_candidate_000020	107	detected	45.9	3.8e-14	6e-16	51.6	1	True	0.2786885246	1	39	12	54	23	23	23	1	1	nat_acb38079c01f07d0de6f	0.80189	0.7943957009	0.9906542056	1	2.96e-44	0.2056042991	0.3967373098	vae_candidate_000967	0.8037375701	0.1962624299	conservation_score	3
