sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	hmm_family_status	similarity_best_family	similarity_best_reference	similarity_effective_identity	similarity_query_coverage	similarity_target_coverage	similarity_second_family	similarity_second_identity	similarity_margin
gen_0	b31dbc207b04b237aa4023e285e5041e3876f122befadeab9360bcb9c760b66d	99	fail			0.0	gvpk	111.4	gvpl	0.7	110.7	0.8924731182795699	0.8282828282828283	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_a0d0faf59b37918c6cc5	0.5643564356435643	0.7777777777777778	0.7920792079207921			
gen_1	f21fee5ebc6cbdabf205ab6966bb87e33697262ce4219f117380fb19acbeb169	104	fail			0.0	gvpk	112.5	gvpl	1.7	110.8	0.946236559139785	0.8365384615384616	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_2	5bb740e69ff0f5f3a2ef462bf66df991458a964954c30f7a7c606ad69dbe14fd	345	fail			0.0	gvpn	356.0				0.6875	0.8202898550724638	other_gvp	competitive_gvpn_support;no_reportable_runner_up;competitive_sequence_agreement			other_gvp	gvpn	nat_d23e6b0adfb19eead32f	0.8405797101449275	0.9855072463768116	0.9970674486803519			
gen_3	b53f18a58be3a3a794619d4a72363793946fecb562b028c1a88ce1c0657d5352	105	fail			0.0	gvpk	120.4	gvpg	0.6	119.80000000000001	0.956989247311828	0.8380952380952381	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_4	dd2b6020d2ae857cbfc5c14194a8a9494e675b8d95513f8eea84606866cc03b8	95	fail			0.0	gvpk	116.2	gvpj	1.0	115.2	0.946236559139785	0.9157894736842105	other_gvp	competitive_gvpk_support;competitive_sequence_agreement		1.0	other_gvp	gvpk	nat_1e91833282be9f0bd4e2	0.7244897959183674	0.8315789473684211	0.8061224489795918			
gen_5	51b22d1c0d1aeb0bcc4b0e0017c4f79e66ee5f627f1c74c5cc5a40284ca037d8	101	fail			0.0	gvpk	118.5	gvpl	1.1	117.4	0.967741935483871	0.8811881188118812	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_b94c6e496a778f2f3d21	0.6435643564356436	0.7623762376237624	0.8191489361702128			
gen_6	738cf74ffcef1bfe9cfe0d687782d0d4f92d8a063ad7bfd5cdbab0670d9fe086	86	pass	59.2	59.5	1.0	gvpa	133.9	gvpj	56.5	77.4	0.7477477477477478	0.9651162790697675	gvpa_gvpj_ambiguous	pf00741_and_competitive_gvpa_support;profile_sequence_family_conflict	133.9	56.5	supported_gvpa	gvpj	nat_dbc06e5fd5d989a1d1e4	0.9302325581395349	1.0	1.0	gvpa	0.9195402298850575	0.010692328254477412
gen_7	7ea53289f56576e0bd68fc4f4dd0520f6b1b8edf23edb217020f941784bf2035	93	fail			0.0	gvpk	122.1	gvpv	0.2	121.89999999999999	0.946236559139785	0.9354838709677419	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_68a18df6d5d153ea5481	0.6236559139784946	0.7741935483870968	0.7912087912087912			
gen_8	b8ebffb6723bf7787797c9e6430b77de5f662b208bcb801e8076d9a49df14da9	114	fail			0.0	gvpk	99.0	gvpv	4.5	94.5	0.956989247311828	0.8070175438596491	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_9	7ab9b9c2d9ad1c8f7213869352b161e42a28bd586c4e3cb16c54d2fd6df4244f	84	fail			0.0	gvpg	128.7	gvpl	2.2	126.49999999999999	1.0	1.0	unsupported	competitive_gvpg_support;profile_sequence_family_conflict			other_gvp	gvpf	nat_9563afccb8c08431776b	0.9047619047619048	1.0	1.0	gvpg	0.6785714285714286	0.22619047619047616
