sequence_id	pool	sequence_sha256	length	tm_segment_count	tm_segments_1based_inclusive	tm_residues	max_tm_segment_length	review_status
vae_candidate_000001	main_supported_gvpa	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	84	0		0	0	no_extra_tm_evidence
vae_candidate_000002	excluded	84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	89	0		0	0	no_extra_tm_evidence
vae_candidate_000003	excluded	47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	116	0		0	0	no_extra_tm_evidence
vae_candidate_000004	excluded	63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	97	0		0	0	no_extra_tm_evidence
vae_candidate_000005	excluded	610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	92	0		0	0	no_extra_tm_evidence
vae_candidate_000006	excluded	33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	78	0		0	0	no_extra_tm_evidence
vae_candidate_000007	excluded	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	54	0		0	0	no_extra_tm_evidence
vae_candidate_000008	excluded	8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	112	0		0	0	no_extra_tm_evidence
vae_candidate_000009	excluded	196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	77	0		0	0	no_extra_tm_evidence
vae_candidate_000010	excluded	3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	89	0		0	0	no_extra_tm_evidence
vae_candidate_000011	excluded	24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	76	0		0	0	no_extra_tm_evidence
vae_candidate_000012	excluded	2209f26349121f51c2d50683bbc79b7adb39ee0a2efe92458c2e1ef8796ccd49	144	0		0	0	no_extra_tm_evidence
vae_candidate_000013	excluded	ff9300d2e2aef7175b58962087d76f8ea3405cf2208df6619ad6adb51165ea90	167	0		0	0	no_extra_tm_evidence
vae_candidate_000014	excluded	bb134afc34d6066647b4fd569d5bde33baa5bfb45b52bbcbdd9b81dcc82ecc4d	137	0		0	0	no_extra_tm_evidence
vae_candidate_000015	excluded	3bc2916e02c2a9414da1e3e8711361a2763804f0ec0cf9acf141efc580f8d86f	139	0		0	0	no_extra_tm_evidence
vae_candidate_000016	excluded	0b5eb08f6eb332ce200c2fd9b6660662a77c6852f167a615c09a962dc0375a6d	180	0		0	0	no_extra_tm_evidence
vae_candidate_000017	excluded	9c8ab771bfd794b1aa7ee69ee0f37530f57d5e5486e05a9672da5e3cd28c44cd	95	0		0	0	no_extra_tm_evidence
vae_candidate_000018	main_supported_gvpa	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	98	0		0	0	no_extra_tm_evidence
vae_candidate_000019	excluded	61e1b7b4d9c8bbeaf13620a1de72d366d0d9d05983b9ea1c0889f6bbc693f8bb	71	0		0	0	no_extra_tm_evidence
vae_candidate_000020	main_supported_gvpa	ae8c524e0e385be95a4a7dd5c033ce06143a99f3991eb736fd2152038c13221e	107	0		0	0	no_extra_tm_evidence
vae_candidate_000021	excluded	55cbcdd2143ac3b0c8f48d84b7f3d3c6bd2088f63ca032dbd1acc5997b0b2c7c	95	0		0	0	no_extra_tm_evidence
vae_candidate_000022	excluded	5a5f5864f1c94e79295a9d04601ea627af0ffc066c1e4684e1605f4910b6bbdd	141	0		0	0	no_extra_tm_evidence
vae_candidate_000023	excluded	227f5f85d2c1ea30fe2c2f81ec23bce8f21c213023c3c31841a36300d2234799	133	0		0	0	no_extra_tm_evidence
vae_candidate_000024	excluded	1b63af6e39e9be1d0aa5db5825c7af6661efdf4146993b28e176f1e985962e8c	142	0		0	0	no_extra_tm_evidence
vae_candidate_000025	excluded	826b8e1b9ae33fb6a5f6a3bc529102bf8ff631873ffce76f6ce8d0c277a910e4	103	0		0	0	no_extra_tm_evidence
vae_candidate_000026	excluded	5fe8efcab91f21567b128757d6c5991e38b1a633279bb4d4253b2c5351192869	125	0		0	0	no_extra_tm_evidence
vae_candidate_000027	excluded	3f0375f4b3dc4aee1d00c8b20d4905dcb41ea55006a8d50484456911662079cd	74	0		0	0	no_extra_tm_evidence
vae_candidate_000028	excluded	24df65b3d09872e03a9c1ab0952689b0946af28146612cb127f5146fc56f1786	127	0		0	0	no_extra_tm_evidence
vae_candidate_000029	main_supported_gvpa	3242d585e56968b6b6d3779a84c6879dd2750e5c60057092d7c0c3c71bae79ae	90	0		0	0	no_extra_tm_evidence
vae_candidate_000030	excluded	7b6599f29821f4fc26f818b6b609f681c067638b47fa0164a89a5ae71f8f978c	99	0		0	0	no_extra_tm_evidence
vae_candidate_000031	excluded	f27ccf550975b33eec059d426fa034dff85a85e0b929a62625b3bbddf9d79a26	74	0		0	0	no_extra_tm_evidence
vae_candidate_000032	main_supported_gvpa	e44eaae089f627a5f9e9d800adbf5abc109a4bf622b625468f765a919c99cdbb	97	0		0	0	no_extra_tm_evidence
vae_candidate_000033	excluded	fd0a65a97f33b3d0e714436d62781b63acf04ba867775752865c7f294369b2ea	123	0		0	0	no_extra_tm_evidence
vae_candidate_000034	main_supported_gvpa	36662d33f08471ea31758b191a75d6473722ebfb5002258e1899528823e73149	92	0		0	0	no_extra_tm_evidence
vae_candidate_000035	excluded	2c09b2f6ce4b2ca918c815965f1d36c90b04ec1a900a04e4644541b3f1ad9a6e	95	0		0	0	no_extra_tm_evidence
vae_candidate_000036	excluded	20ef141b558e1fc9742ce427b9de2fb2b223aca7b7a9aefff8c89a24cbcaf39b	100	0		0	0	no_extra_tm_evidence
vae_candidate_000037	excluded	dcbb9e016c560cf7b18a0436e1dbaab229f8ad1eab8cb995f20d592dca291d9d	63	0		0	0	no_extra_tm_evidence
vae_candidate_000038	excluded	2b615b03f06addbc70d65f130a47f9dc22844b880051f56a6b295e6c18d5af7f	129	0		0	0	no_extra_tm_evidence
vae_candidate_000039	excluded	f36881fe1a088c6a58f5b3b9d119ef19814a518a5e7910936c0a00b45295f68c	104	0		0	0	no_extra_tm_evidence
vae_candidate_000040	excluded	9ed5c77bffa3ef0b1c8f8dafeb722c4c4d4bc7a46064767cfc83f1f63c7e8790	168	0		0	0	no_extra_tm_evidence
vae_candidate_000041	ambiguous_exploration	186da6e177a19eacd3d559e95fd5b73ab30b9ad9d5afb4c2c73deb3d1324dc8b	93	0		0	0	no_extra_tm_evidence
vae_candidate_000042	excluded	3a2140bacd87687187b99035a2cd220e852a764160589cb1400a1938704425b7	115	0		0	0	no_extra_tm_evidence
vae_candidate_000043	excluded	80dff3968fd241dfb440aacf20c77335f317f25edd65fc5cfff61a9aa3c4cfd1	128	0		0	0	no_extra_tm_evidence
vae_candidate_000044	excluded	59841b357d6487c5a6c17e727a6931576a1d817b1cca0e2b5bd43ff1e3edecbf	71	0		0	0	no_extra_tm_evidence
vae_candidate_000045	excluded	ff862c8141858294aaa9f11bf3be63a1662f9764f526a8567c6935823f6ba608	134	0		0	0	no_extra_tm_evidence
vae_candidate_000046	excluded	fa65c311c43a8d04a3f21b200840e33d487102fdecd72e9c5582265b4f97297f	126	0		0	0	no_extra_tm_evidence
vae_candidate_000047	excluded	bf1e201433832bc7a494c1ad09d17d8fcdd165ba4834a97ad6232bde32830665	59	0		0	0	no_extra_tm_evidence
vae_candidate_000048	excluded	4482ea96472d31ebc912c0de9a55f9526254ad45714394d95eb25de7dbcd242d	76	0		0	0	no_extra_tm_evidence
vae_candidate_000049	excluded	9db73996d2979d5828d9f896ad9bf2c52ace50870be9a4f8921e9da444167070	112	0		0	0	no_extra_tm_evidence
vae_candidate_000050	main_supported_gvpa	d6eade2c18d926b4a9d7ec82b7f1615b2e260abd464154bc9db8f1775dba6cf9	70	0		0	0	no_extra_tm_evidence
vae_candidate_000051	excluded	7b74ac8889f5e2d14a9efa0875b8ccb372f47f3e873c944652a036a8e7323545	82	0		0	0	no_extra_tm_evidence
vae_candidate_000052	excluded	5373afba832cbdbea249f8bc08254c7ee7b3c989ddd53383703db146b0d8d20b	104	0		0	0	no_extra_tm_evidence
vae_candidate_000053	excluded	b3b8c33a5b22cdfe9e9926e2dab84d1c4a2eb8cb7f2deb06cde1a737205be09a	143	0		0	0	no_extra_tm_evidence
vae_candidate_000054	excluded	607b9955ebaf04e0de46bf6bce67ac75f9574089b68dff97d7c30b3acb12ae4f	117	0		0	0	no_extra_tm_evidence
vae_candidate_000055	excluded	bad7436e63e4e26e30934f8591f426c5c7a0f03a259b39448159d1df834b6a73	51	0		0	0	no_extra_tm_evidence
vae_candidate_000056	excluded	a09c6ceedd41f54a2281e6ad7d1e6a1b299800f7d3d3c50fb4ab3b8ebb596587	69	0		0	0	no_extra_tm_evidence
vae_candidate_000057	excluded	2af931adeb233cd39ad8d91c0c14316f33b07c0d5034356d1002a99c287b0523	113	0		0	0	no_extra_tm_evidence
vae_candidate_000058	main_supported_gvpa	860f4a13c1f3f2220ee1db107ba1c07d4dbdf710a6ab08f42819b416d6d09fac	86	0		0	0	no_extra_tm_evidence
vae_candidate_000059	excluded	57c3a0c94772b72a830fb9c7f73ad94d96e446f7dbdb76f8362207afab88e622	85	0		0	0	no_extra_tm_evidence
vae_candidate_000060	excluded	9292dc1d28b3bfaa6b41ff76c0e4a82a93d9e4fff0ee862ac07728e23c8bed12	58	0		0	0	no_extra_tm_evidence
vae_candidate_000061	main_supported_gvpa	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	110	0		0	0	no_extra_tm_evidence
