sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	control_type	expected_family	fold	parent_id
nat_91f552b9f84853c37285	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	72	pass	59.8	60.1	1.0			gvpa	125.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.5	88.7	natural_heldout	gvpa	0	nat_91f552b9f84853c37285
nat_291571f679284e1c6455	291571f679284e1c6455963717615530ae130d29db41fb93abfacd00fa90ad20	73	pass	58.7	59.1	0.9743589743589743	gvpj	88.9	gvpa	121.5	-32.599999999999994	0.6140350877192983	0.9452054794520548	gvpa_gvpj_ambiguous	insufficient_competitive_margin	121.5	88.9	natural_heldout	gvpa	0	nat_291571f679284e1c6455
nat_419538444627b50496c7	419538444627b50496c73c8cf28e7a1950e49971cfa5cb42c07430d39eb23bd3	82	pass	54.0	54.3	1.0	gvpj	84.2	gvpa	118.8	-34.599999999999994	0.631578947368421	0.8658536585365854	gvpa_gvpj_ambiguous	insufficient_competitive_margin	118.8	84.2	natural_heldout	gvpa	0	nat_419538444627b50496c7
nat_d5b00906bcc6e7ee2601	d5b00906bcc6e7ee2601548874eb49cd8eb278fe52c5928828ab442fa2ac7bd2	86	pass	55.0	55.4	1.0	gvpj	93.6	gvpa	131.4	-37.80000000000001	0.6578947368421053	0.8604651162790697	gvpa_gvpj_ambiguous	insufficient_competitive_margin	131.4	93.6	natural_heldout	gvpa	0	nat_d5b00906bcc6e7ee2601
nat_cd15fd2a214ac9570bfd	cd15fd2a214ac9570bfd13751ddd824061d5d55bc28fc3df3c1367b97c80a108	83	pass	56.2	56.5	1.0			gvpa	124.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.8	87.9	natural_heldout	gvpa	0	nat_cd15fd2a214ac9570bfd
nat_eccab6536bed142192aa	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	70	pass	59.5	59.9	1.0			gvpa	119.7		0.0	0.0	unsupported	no_qualified_subfamily_hit	119.7	84.8	natural_heldout	gvpa	0	nat_eccab6536bed142192aa
nat_be9809bb1f91644c1e43	be9809bb1f91644c1e431f6b48e4a4183d550ce2f80f162d11f698b4c92e1824	72	pass	62.6	62.9	1.0			gvpa	124.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.8	90.6	natural_heldout	gvpa	0	nat_be9809bb1f91644c1e43
nat_622c716866d2133b80f2	622c716866d2133b80f2821fd0bc4b15c8a3872f04f569b358001ba249e094bc	72	pass	59.1	59.6	1.0			gvpa	125.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.1	88.2	natural_heldout	gvpa	0	nat_622c716866d2133b80f2
nat_d9b32c93cd099c72a956	d9b32c93cd099c72a9565d0d1d751944285fef4f2523b73e02fca6dad757ad3d	72	pass	61.5	61.8	1.0			gvpa	127.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	127.2	91.4	natural_heldout	gvpa	0	nat_d9b32c93cd099c72a956
nat_fd161dfe59366687c2f2	fd161dfe59366687c2f2851a7085607a1a49850277ce6c989d8f377546025ebe	72	pass	52.8	53.1	1.0			gvpa	124.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.8	86.5	natural_heldout	gvpa	0	nat_fd161dfe59366687c2f2
nat_2e707b0ae8b0c69feb2e	2e707b0ae8b0c69feb2eb75166178922a33851e0022ed4c173447055ed769eb8	72	pass	53.8	54.1	1.0			gvpa	124.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.8	86.5	natural_heldout	gvpa	0	nat_2e707b0ae8b0c69feb2e
nat_a36a3359d46f89a3e9c6	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	93	pass	60.0	60.4	1.0	gvpa	136.2	gvpj	92.1	44.099999999999994	0.6204379562043796	0.9139784946236559	supported_gvpa	pf00741_and_competitive_gvpa_support	136.2	92.1	natural_heldout	gvpa	0	nat_a36a3359d46f89a3e9c6
nat_5d20e8974d28b202ff3e	5d20e8974d28b202ff3e6522190fdbf27c7ec35790b334b7bfc0964dd160f003	88	pass	57.1	57.4	1.0	gvpj	95.9	gvpa	132.9	-37.0	0.6754385964912281	0.8636363636363636	gvpa_gvpj_ambiguous	insufficient_competitive_margin	132.9	95.9	natural_heldout	gvpa	0	nat_5d20e8974d28b202ff3e
nat_b3e7eac10f741058a688	b3e7eac10f741058a688bc7d62c0f50b5a15ad09caae40e59b5e7155d1011066	74	pass	54.9	55.3	0.9487179487179487			gvpa	113.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	113.6	80.0	natural_heldout	gvpa	0	nat_b3e7eac10f741058a688
nat_9896810d394d4d1edf15	9896810d394d4d1edf15ff02a5ebe1a5ce22578a398bf69c24333fb0d1e948a5	80	pass	59.1	59.4	1.0	gvpj	92.4	gvpa	127.9	-35.5	0.6140350877192983	0.85	gvpa_gvpj_ambiguous	insufficient_competitive_margin	127.9	92.4	natural_heldout	gvpa	0	nat_9896810d394d4d1edf15
nat_17718ba432b9ffbaf06b	17718ba432b9ffbaf06b1bb2b0b2bb7a8824f8f4fa1fc5d630b80747312e1252	90	pass	57.0	57.3	1.0	gvpj	95.8	gvpa	133.4	-37.60000000000001	0.6754385964912281	0.8444444444444444	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.4	95.8	natural_heldout	gvpa	0	nat_17718ba432b9ffbaf06b
nat_58552353178d8fa2f36f	58552353178d8fa2f36f7b3daafc17974c1edbc48383f9691809dca7f0067bba	87	pass	56.4	56.7	1.0	gvpj	96.8	gvpa	133.8	-37.000000000000014	0.7368421052631579	0.9310344827586207	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.8	96.8	natural_heldout	gvpa	0	nat_58552353178d8fa2f36f
nat_969159e68bc0479327cf	969159e68bc0479327cf12527c848f43e276e0d12b14db7fde40332a3c5adbe5	92	pass	59.2	59.6	1.0	gvpj	95.5	gvpa	130.6	-35.099999999999994	0.6842105263157895	0.8478260869565217	gvpa_gvpj_ambiguous	insufficient_competitive_margin	130.6	95.5	natural_heldout	gvpa	0	nat_969159e68bc0479327cf
nat_8d9ebc646f6fec623f00	8d9ebc646f6fec623f00ceeb9030112286df2d5d8f0f5344df448c0444b19877	88	pass	58.0	58.3	1.0	gvpj	97.3	gvpa	134.0	-36.7	0.6842105263157895	0.875	gvpa_gvpj_ambiguous	insufficient_competitive_margin	134.0	97.3	natural_heldout	gvpa	0	nat_8d9ebc646f6fec623f00
