sequence_id	split	cluster_id	length	sequence_sha256	source_path	source_id	source_header	annotation_support	family_verification_status
ref_000001	train	cluster_000226	72	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_011429717|gvpA|protein	WP_011429717|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000002	train	cluster_000083	143	b55ecf6ba9a45824ac0902d9417c3d45586c40e90b417ea9d3dd2efec02697a5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_201675936|gvpA|protein	WP_201675936|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000003	train	cluster_000166	98	3a3fe29b7daaadaf3131edb18ea6ffdc6cb6eef2fb4b06ffffa81866f20a1290	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_011523206|gvpA|protein	WP_011523206|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000004	train	cluster_000359	73	291571f679284e1c6455963717615530ae130d29db41fb93abfacd00fa90ad20	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_212716182|gvpA|protein	WP_212716182|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000005	validation	cluster_000312	82	419538444627b50496c73c8cf28e7a1950e49971cfa5cb42c07430d39eb23bd3	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_022949487|gvpA|protein	WP_022949487|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000006	train	cluster_000267	86	d5b00906bcc6e7ee2601548874eb49cd8eb278fe52c5928828ab442fa2ac7bd2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_456223989|gvpA|protein	WP_456223989|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000007	train	cluster_000308	83	cd15fd2a214ac9570bfd13751ddd824061d5d55bc28fc3df3c1367b97c80a108	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_233491533|gvpA|protein	WP_233491533|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000008	train	cluster_000340	74	771e7534b299c23ea1f3fc11e557badf6e75402cafa8692f174709dbd4f60e34	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_207637540|gvpA|protein	WP_207637540|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000009	train	cluster_000144	116	b017d8236271e13a1522a8ef3c3e41b212de7d09a483ea1ebbfd4dee7dac5625	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_316679069|gvpA|protein	WP_316679069|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000010	train	cluster_000389	70	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_213372596|gvpA|protein	WP_213372596|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000011	validation	cluster_000342	72	be9809bb1f91644c1e431f6b48e4a4183d550ce2f80f162d11f698b4c92e1824	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_007357596|gvpA|protein	WP_007357596|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000012	validation	cluster_000342	72	622c716866d2133b80f2821fd0bc4b15c8a3872f04f569b358001ba249e094bc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_265902100|gvpA|protein	WP_265902100|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000013	train	cluster_000201	92	bbaedab282a048e849b5f7ba2a3fd16f9f5e2f612426ba2ccdfdd490ac6b80dc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_449053447|gvpA|protein	WP_449053447|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000014	train	cluster_000226	72	d9b32c93cd099c72a9565d0d1d751944285fef4f2523b73e02fca6dad757ad3d	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_446859740|gvpA|protein	WP_446859740|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000015	train	cluster_000318	72	fd161dfe59366687c2f2851a7085607a1a49850277ce6c989d8f377546025ebe	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_017721733|gvpA|protein	WP_017721733|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000016	train	cluster_000318	72	2e707b0ae8b0c69feb2eb75166178922a33851e0022ed4c173447055ed769eb8	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_017721725|gvpA|protein	WP_017721725|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000017	train	cluster_000322	78	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_004056706|gvpA|protein	WP_004056706|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000018	train	cluster_000168	97	7577017d2109753dbbe7029d3485d0d19c0610f0a962738329206f6c25a2e3bc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_394584192|gvpA|protein	WP_394584192|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000019	test	cluster_000178	93	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_138244856|gvpA|protein	WP_138244856|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000020	train	cluster_000200	88	5d20e8974d28b202ff3e6522190fdbf27c7ec35790b334b7bfc0964dd160f003	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_427576720|gvpA|protein	WP_427576720|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
