sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	query_length	closest_reference_id	closest_reference_ids	closest_reference_tie_count	target_length	alignment_score	alignment_length	aligned_pairs	identical_residues	identity	query_coverage	target_coverage	effective_identity	distance	distance_status	distance_reason	reference_count	resolved_reference_count	qc_failure_reasons	qc_checks_not_run	review_required	review_reasons
gen_0	99	True	False	False	False	True	0.10030699988824114	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	99	ref_000164	"[""ref_000164""]"	1	95	0.5	109	85	26	0.3058823529411765	0.8585858585858586	0.8947368421052632	0.26262626262626265	0.7373737373737373	resolved		1224	20			True	qc_warning
gen_1	104	True	False	False	False	True	0.14151541200516327	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	104	ref_000293	"[""ref_000293"", ""ref_000305"", ""ref_000324""]"	3	95	14.0	108	91	27	0.2967032967032967	0.875	0.9578947368421052	0.25961538461538464	0.7403846153846154	resolved		1224	92			True	qc_warning;reference_tie
gen_2	345	True	False	False	False	True	0.029159583959652062	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	False	length_above_maximum		345		[]	0											unresolved	no_reliable_reference	1224	0	length_above_maximum		True	qc_failure;reference_unresolved
gen_3	105	True	False	False	False	True	0.14947663744438766	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	105	ref_000241	"[""ref_000241"", ""ref_000410""]"	2	110	7.0	127	88	22	0.25	0.8380952380952381	0.8	0.2	0.8	resolved		1224	3			True	qc_warning;reference_tie
gen_4	95	True	False	False	False	True	0.15573158322030595	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	95	ref_000048	"[""ref_000048"", ""ref_000255"", ""ref_000315""]"	3	95	7.0	107	83	28	0.3373493975903614	0.8736842105263158	0.8736842105263158	0.29473684210526313	0.7052631578947368	resolved		1224	79			True	qc_warning;reference_tie
gen_5	101	True	False	False	False	True	0.13988422286524527	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	101	ref_000238	"[""ref_000238""]"	1	93	17.0	108	86	29	0.3372093023255814	0.8514851485148515	0.9247311827956989	0.2871287128712871	0.7128712871287128	resolved		1224	82			True	qc_warning
gen_7	93	True	False	False	False	True	0.13593152048314522	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	93	ref_000266	"[""ref_000266""]"	1	95	23.5	111	77	34	0.44155844155844154	0.8279569892473119	0.8105263157894737	0.35789473684210527	0.6421052631578947	resolved		1224	80			True	qc_warning
gen_9	84	True	False	False	False	True	0.10334225402364491	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	84	ref_000273	"[""ref_000273""]"	1	97	3.5	100	81	24	0.2962962962962963	0.9642857142857143	0.8350515463917526	0.24742268041237114	0.7525773195876289	resolved		1224	115			True	qc_warning
gen_10	111	True	False	False	False	True	0.18056288321881653	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	111	ref_001098	"[""ref_001098"", ""ref_001140""]"	2	122	7.5	125	108	34	0.3148148148148148	0.972972972972973	0.8852459016393442	0.2786885245901639	0.7213114754098361	resolved		1224	7			True	qc_warning;reference_tie
gen_11	113	True	False	False	False	True	0.12564040686543193	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	113	ref_000009	"[""ref_000009""]"	1	116	4.0	135	94	24	0.2553191489361702	0.831858407079646	0.8103448275862069	0.20689655172413793	0.7931034482758621	resolved		1224	1			True	qc_warning
gen_12	97	True	False	False	False	True	0.13761446874432084	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	97	ref_000864	"[""ref_000864""]"	1	111	16.0	117	91	30	0.32967032967032966	0.9381443298969072	0.8198198198198198	0.2702702702702703	0.7297297297297297	resolved		1224	106			True	qc_warning
gen_13	89	True	False	False	False	True	0.13433566793959034	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	89	ref_000054	"[""ref_000054"", ""ref_000399""]"	2	81	43.5	97	73	26	0.3561643835616438	0.8202247191011236	0.9012345679012346	0.29213483146067415	0.7078651685393258	resolved		1224	435			True	qc_warning;reference_tie
gen_14	294	True	False	False	False	True	0.05588851682776234	0.060619256010025824	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	False	length_above_maximum		294		[]	0											unresolved	no_reliable_reference	1224	0	length_above_maximum		True	qc_failure;reference_unresolved
gen_15	102	True	False	False	False	True	0.1110982314652384	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	102	ref_000338	"[""ref_000338""]"	1	94	17.0	110	86	28	0.32558139534883723	0.8431372549019608	0.9148936170212766	0.27450980392156865	0.7254901960784313	resolved		1224	116			True	qc_warning
gen_16	95	True	False	False	False	True	0.15694409006835225	0.060619256010025824	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning	95	ref_000313	"[""ref_000313"", ""ref_000315"", ""ref_000324"", ""ref_000341"", ""ref_000351""]"	5	94	15.0	109	80	26	0.325	0.8421052631578947	0.851063829787234	0.2736842105263158	0.7263157894736842	resolved		1224	60			True	qc_warning;reference_tie
