sequence_id	query_length	closest_reference_id	closest_reference_ids	closest_reference_tie_count	target_length	alignment_score	alignment_length	aligned_pairs	identical_residues	identity	query_coverage	target_coverage	effective_identity	distance	distance_status	distance_reason	reference_count	resolved_reference_count
vae_candidate_000001	84	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	308.0	94	82	72	0.8780487804878049	0.9761904761904762	0.8913043478260869	0.782608695652174	0.21739130434782605	resolved		346	219
vae_candidate_000002	89	nat_75679c0d4db585656573	"[""nat_75679c0d4db585656573""]"	1	92	212.0	102	79	56	0.7088607594936709	0.8876404494382022	0.8586956521739131	0.6086956521739131	0.3913043478260869	resolved		346	184
vae_candidate_000003	116	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_05d62502987d9405b8af"", ""nat_4dc9c1477d3d6b181da7"", ""nat_8f3e753527c876cd94f0""]"	4	94	328.0	117	93	80	0.8602150537634409	0.8017241379310345	0.9893617021276596	0.6896551724137931	0.31034482758620685	resolved		346	102
vae_candidate_000004	97		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000005	92	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	2	94	232.5	110	76	61	0.8026315789473685	0.8260869565217391	0.8085106382978723	0.648936170212766	0.35106382978723405	resolved		346	154
vae_candidate_000006	78	nat_34e09ae9d7236edc844b	"[""nat_34e09ae9d7236edc844b""]"	1	85	192.0	89	74	48	0.6486486486486487	0.9487179487179487	0.8705882352941177	0.5647058823529412	0.43529411764705883	resolved		346	137
vae_candidate_000007	54		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000008	112	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	54.5	133	90	37	0.4111111111111111	0.8035714285714286	0.8108108108108109	0.33035714285714285	0.6696428571428572	resolved		346	1
vae_candidate_000009	77	nat_2dee131e85e06a8f9fdd	"[""nat_2dee131e85e06a8f9fdd""]"	1	76	152.0	89	64	37	0.578125	0.8311688311688312	0.8421052631578947	0.4805194805194805	0.5194805194805194	resolved		346	18
vae_candidate_000010	89	nat_dc6aa26cbe06c32b68c2	"[""nat_dc6aa26cbe06c32b68c2""]"	1	94	96.0	101	82	41	0.5	0.9213483146067416	0.8723404255319149	0.43617021276595747	0.5638297872340425	resolved		346	180
vae_candidate_000011	76	nat_13dff233b6dfd04cb79c	"[""nat_13dff233b6dfd04cb79c"", ""nat_1ed909a554bd91f8870f"", ""nat_2a93193629740c6b70af"", ""nat_440c141d3d83ed043c33""]"	4	76	193.0	84	68	49	0.7205882352941176	0.8947368421052632	0.8947368421052632	0.6447368421052632	0.35526315789473684	resolved		346	96
vae_candidate_000012	144	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	252.0	168	121	70	0.5785123966942148	0.8402777777777778	0.8344827586206897	0.4827586206896552	0.5172413793103448	resolved		346	32
vae_candidate_000013	167	nat_82b87d3bb03732004ea1	"[""nat_82b87d3bb03732004ea1""]"	1	159	369.5	176	150	97	0.6466666666666666	0.8982035928143712	0.9433962264150944	0.5808383233532934	0.41916167664670656	resolved		346	86
vae_candidate_000014	137		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000015	139	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	216.5	166	118	67	0.5677966101694916	0.8489208633093526	0.8137931034482758	0.46206896551724136	0.5379310344827586	resolved		346	89
vae_candidate_000016	180	nat_82d1db25aa951a1ad609	"[""nat_82d1db25aa951a1ad609""]"	1	159	43.5	192	147	47	0.3197278911564626	0.8166666666666667	0.9245283018867925	0.2611111111111111	0.7388888888888889	resolved		346	5
vae_candidate_000017	95	nat_4d4e00d31d935ed0527d	"[""nat_4d4e00d31d935ed0527d""]"	1	95	107.5	114	76	43	0.5657894736842105	0.8	0.8	0.45263157894736844	0.5473684210526315	resolved		346	108
