sequence_id	sequence_sha256	cluster_id	length	release_status	reasons	source_accessions	split
nat_49cef355c6ba3187ae5c	49cef355c6ba3187ae5c9104097887f71b46d34a1bb4fd051de140f31dbffc07	cluster_04e4c15b93bd18832d36	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	AAC82809|gvpA|protein;P08958;WP_010890519.1;WP_010890519|gvpA|protein;sp|P08958|gvpA|protein	train
nat_766d45336d56f5b42f24	766d45336d56f5b42f24327e8017dcef111a6d0d9ef09d065ff599ed28c3610e	cluster_04e4c15b93bd18832d36	79	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	CAM2938561|gvpA|protein;P08959;QCC46023|gvpA|protein;QRY21670|gvpA|protein;QRY26281|gvpA|protein;UEB93266|gvpA|protein;WJK64891|gvpA|protein;WP_010904108.1;WP_010904108|gvpA|protein;WWX76702|gvpA|protein;WXL16392|gvpA|protein;sp|P08959|gvpA|protein	train
nat_39696a92cfeac6f208a2	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	P23761;QCQ75864|gvpA|protein;WP_004056706.1;WP_004056706|gvpA|protein;sp|P23761|gvpA|protein	train
nat_bf0dfc6c51956e5d54f7	bf0dfc6c51956e5d54f7904eabcfda2aca05adff69b9fb1a544c2635718dc258	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	O33397;WP_089386074.1;WP_089386074|gvpA|protein;sp|O33397|gvpA|protein	train
nat_278c7a3fd12af0319695	278c7a3fd12af0319695fae40d23ee8f76abf60d19c5e52b3b9dab1e368567ba	cluster_02e83ad46b86e8eaf5e7	71	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q8XFU1;UKO95985|gvpA|protein;UKP00211|gvpA|protein;UKP00212|gvpA|protein;UYD29373|gvpA|protein;UYD34721|gvpA|protein;WP_010996411.1;WP_010996411|gvpA|protein;XPT18807|gvpA|protein;XPT18808|gvpA|protein;XPT26586|gvpA|protein;XPT26587|gvpA|protein;XTB90403|gvpA|protein;XTB90404|gvpA|protein;XTB90405|gvpA|protein;sp|Q8XFU1|gvpA|protein	train
nat_5bc7120641a4b206dec6	5bc7120641a4b206dec615e69a9573322282b0869275b3db5d6e281c748b2aff	cluster_02e83ad46b86e8eaf5e7	72	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	A5G5E4;WP_011939686.1;WP_011939686|gvpA|protein;sp|A5G5E4|gvpA|protein	train
nat_61a382d08777524701b3	61a382d08777524701b3b127d54c55544b762da256e18e1289de6de3ef39b838	cluster_0da4fc315e8c5fa1925f	72	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q18JA1;WP_011571057.1;WP_011571057|gvpA|protein;sp|Q18JA1|gvpA|protein	test
nat_a1131689eff9ccc2bc1c	a1131689eff9ccc2bc1cb9c6417b27251120988628db25efce7ae158aaecf416	cluster_02e83ad46b86e8eaf5e7	70	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q9RH31;WP_018390783.1;WP_018390783|gvpA|protein;sp|Q9RH31|gvpA|protein	train
nat_eccab6536bed142192aa	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	cluster_02e83ad46b86e8eaf5e7	70	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	GLK71416|gvpA|protein;WP_213372596.1;WP_213372596|gvpA|protein	train
nat_a36a3359d46f89a3e9c6	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	cluster_00058845722df3ede422	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	QCS42367|gvpA|protein;WP_138244856.1;WP_138244856|gvpA|protein	train
nat_49d3875a5ef4bbb644f9	49d3875a5ef4bbb644f930139f267d2cc4e3bdfbfd30dde28aab18149bc1f254	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_436344290.1;WP_436344290|gvpA|protein	train
nat_1e070d0d2387bb202235	1e070d0d2387bb202235dd365948f4b25f48059ea4c98d3578571e9cd7eb12bb	cluster_1e070d0d2387bb202235	75	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_440955508.1;WP_440955508|gvpA|protein;XYY85779|gvpA|protein	validation
nat_38cb7bda240a833d36b3	38cb7bda240a833d36b384add457f6a14c4bac92c8bfa58639724187005025d1	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_440769334.1;WP_440769334|gvpA|protein	train
nat_8f3e753527c876cd94f0	8f3e753527c876cd94f0f40735a536faf3fc90a3524a79b993b998a48495383b	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_124192755.1;WP_124192755|gvpA|protein	train
nat_144165ea4d3ea8a64b2e	144165ea4d3ea8a64b2e97fd557e53d485b05e168aefc547e39ea8dc8fed59dd	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_436345017.1;WP_436345017|gvpA|protein	train
nat_d5c2d4101839c4dee9b6	d5c2d4101839c4dee9b608bbafd0bb712b3bb5cc8e8bb373c074eb48f72d3a9b	cluster_0da4fc315e8c5fa1925f	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435348186.1;WP_435348186|gvpA|protein	test
nat_13dff233b6dfd04cb79c	13dff233b6dfd04cb79ca09d72c28e71d76c7ac1c59a0f75ad568a11420b75ee	cluster_04e4c15b93bd18832d36	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435186752.1;WP_435186752|gvpA|protein	train
nat_f5db5c4704d592f947d9	f5db5c4704d592f947d9390e9bcd6afde1ac2a8c4b44472ec28636a4e3ab47c5	cluster_00058845722df3ede422	82	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435154202.1;WP_435154202|gvpA|protein	train
