sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status
vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	True	False	eos	85	84	True	False	False	False	True	0.01701803192595631	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000002	84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	True	False	eos	90	89	True	False	False	False	True	0.042280620427150535	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000003	47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	True	False	eos	117	116	True	False	False	False	True	0.01531141532655192	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000004	63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	True	False	eos	98	97	True	False	False	False	True	0.050351939909479365	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000005	610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	True	False	eos	93	92	True	False	False	False	True	0.02435655055421019	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000006	33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	True	False	eos	79	78	True	False	False	False	True	0.04413016991197222	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000007	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	True	False	eos	55	54	True	False	False	False	True	0.19335929982427932	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 2, ""end"": 7, ""length"": 6, ""residue"": ""T""}, {""start"": 27, ""end"": 34, ""length"": 8, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail
vae_candidate_000008	8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	True	False	eos	113	112	True	False	False	False	True	0.04329977099141705	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000009	196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	True	False	eos	78	77	True	False	False	False	True	0.042648412574083874	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000010	3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	True	False	eos	90	89	True	False	False	False	True	0.03519565836819577	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
