sequence_id	length	standard_aa_only	at_generation_length_cap	exact_match_mixed_reference	exact_match_nominal_gvpa_union	family_status
gen_0	99	True	False	False	False	not_assessed
gen_1	104	True	False	False	False	not_assessed
gen_2	345	True	False	False	False	not_assessed
gen_3	105	True	False	False	False	not_assessed
gen_4	95	True	False	False	False	not_assessed
gen_5	101	True	False	False	False	not_assessed
gen_6	86	True	False	False	False	not_assessed
gen_7	93	True	False	False	False	not_assessed
gen_8	114	True	False	False	False	not_assessed
gen_9	84	True	False	False	False	not_assessed
gen_10	111	True	False	False	False	not_assessed
gen_11	113	True	False	False	False	not_assessed
gen_12	97	True	False	False	False	not_assessed
gen_13	89	True	False	False	False	not_assessed
gen_14	294	True	False	False	False	not_assessed
gen_15	102	True	False	False	False	not_assessed
gen_16	95	True	False	False	False	not_assessed
gen_17	115	True	False	False	False	not_assessed
gen_18	126	True	False	False	False	not_assessed
gen_19	98	True	False	False	False	not_assessed
gen_20	81	True	False	False	False	not_assessed
gen_21	109	True	False	False	False	not_assessed
gen_22	112	True	False	False	False	not_assessed
gen_23	99	True	False	False	False	not_assessed
gen_24	105	True	False	False	False	not_assessed
gen_25	84	True	False	False	False	not_assessed
gen_26	102	True	False	False	False	not_assessed
gen_27	104	True	False	False	False	not_assessed
gen_28	66	True	False	False	False	not_assessed
gen_29	366	True	False	False	False	not_assessed
gen_30	288	True	False	False	False	not_assessed
gen_31	305	True	False	False	False	not_assessed
gen_32	104	True	False	False	False	not_assessed
gen_33	482	True	False	False	False	not_assessed
gen_34	115	True	False	False	False	not_assessed
gen_35	155	True	False	False	False	not_assessed
gen_36	100	True	False	False	False	not_assessed
gen_37	114	True	False	False	False	not_assessed
gen_38	106	True	False	False	False	not_assessed
gen_39	71	True	False	False	False	not_assessed
gen_40	136	True	False	False	False	not_assessed
gen_41	303	True	False	False	False	not_assessed
gen_42	84	True	False	False	False	not_assessed
gen_43	98	True	False	False	False	not_assessed
gen_44	70	True	False	False	False	not_assessed
gen_45	319	True	False	False	False	not_assessed
gen_46	96	True	False	False	False	not_assessed
gen_47	100	True	False	False	False	not_assessed
gen_48	347	True	False	False	False	not_assessed
gen_49	112	True	False	False	False	not_assessed
gen_50	306	True	False	False	False	not_assessed
gen_51	101	True	False	False	False	not_assessed
gen_52	103	True	False	False	False	not_assessed
gen_53	109	True	False	False	False	not_assessed
gen_54	109	True	False	False	False	not_assessed
gen_55	94	True	False	False	False	not_assessed
gen_56	103	True	False	False	False	not_assessed
gen_57	111	True	False	False	False	not_assessed
gen_58	104	True	False	False	False	not_assessed
gen_59	315	True	False	False	False	not_assessed
gen_60	106	True	False	False	False	not_assessed
gen_61	114	True	False	False	False	not_assessed
gen_62	84	True	False	False	False	not_assessed
gen_63	97	True	False	False	False	not_assessed
gen_64	490	True	False	False	False	not_assessed
gen_65	84	True	False	False	False	not_assessed
gen_66	94	True	False	False	False	not_assessed
gen_67	92	True	False	False	False	not_assessed
gen_68	145	True	False	False	False	not_assessed
gen_69	103	True	False	False	False	not_assessed
gen_70	107	True	False	False	False	not_assessed
gen_71	84	True	False	False	False	not_assessed
gen_72	512	True	True	False	False	not_assessed
gen_73	103	True	False	False	False	not_assessed
gen_74	103	True	False	False	False	not_assessed
gen_75	306	True	False	False	False	not_assessed
gen_76	155	True	False	False	False	not_assessed
gen_77	100	True	False	False	False	not_assessed
gen_78	105	True	False	False	False	not_assessed
gen_79	112	True	False	False	False	not_assessed
gen_80	91	True	False	False	False	not_assessed
gen_81	93	True	False	False	False	not_assessed
gen_82	103	True	False	False	False	not_assessed
gen_83	84	True	False	False	False	not_assessed
gen_84	92	True	False	False	False	not_assessed
gen_85	104	True	False	False	False	not_assessed
gen_86	102	True	False	False	False	not_assessed
gen_87	104	True	False	False	False	not_assessed
gen_88	98	True	False	False	False	not_assessed
gen_89	96	True	False	False	False	not_assessed
gen_90	97	True	False	False	False	not_assessed
gen_91	83	True	False	False	False	not_assessed
gen_92	89	True	False	False	False	not_assessed
gen_93	266	True	False	False	False	not_assessed
gen_94	74	True	False	False	False	not_assessed
gen_95	104	True	False	False	False	not_assessed
gen_96	304	True	False	False	False	not_assessed
gen_97	136	True	False	False	False	not_assessed
gen_98	104	True	False	False	False	not_assessed
gen_99	114	True	False	False	False	not_assessed
gen_100	110	True	False	False	False	not_assessed
gen_101	71	True	False	False	False	not_assessed
gen_102	119	True	False	False	False	not_assessed
gen_103	98	True	False	False	False	not_assessed
gen_104	74	True	False	False	False	not_assessed
gen_105	341	True	False	False	False	not_assessed
gen_106	101	True	False	False	False	not_assessed
gen_107	98	True	False	False	False	not_assessed
gen_108	103	True	False	False	False	not_assessed
gen_109	86	True	False	False	False	not_assessed
gen_110	93	True	False	False	False	not_assessed
gen_111	110	True	False	False	False	not_assessed
gen_112	106	True	False	False	False	not_assessed
gen_113	301	True	False	False	False	not_assessed
gen_114	444	True	False	False	False	not_assessed
gen_115	127	True	False	False	False	not_assessed
gen_116	100	True	False	False	False	not_assessed
gen_117	103	True	False	False	False	not_assessed
gen_118	156	True	False	False	False	not_assessed
gen_119	337	True	False	False	False	not_assessed
gen_120	347	True	False	False	False	not_assessed
gen_121	114	True	False	False	False	not_assessed
gen_122	92	True	False	False	False	not_assessed
gen_123	120	True	False	False	False	not_assessed
gen_124	282	True	False	False	False	not_assessed
gen_125	114	True	False	False	False	not_assessed
gen_126	92	True	False	False	False	not_assessed
gen_127	114	True	False	False	False	not_assessed
gen_128	93	True	False	False	False	not_assessed
gen_129	73	True	False	False	False	not_assessed
gen_130	120	True	False	False	False	not_assessed
gen_131	94	True	False	False	False	not_assessed
gen_132	107	True	False	False	False	not_assessed
gen_133	106	True	False	False	False	not_assessed
gen_134	107	True	False	False	False	not_assessed
gen_135	98	True	False	False	False	not_assessed
gen_136	95	True	False	False	False	not_assessed
gen_137	93	True	False	False	False	not_assessed
gen_138	94	True	False	False	False	not_assessed
gen_139	91	True	False	False	False	not_assessed
gen_140	97	True	False	False	False	not_assessed
gen_141	94	True	False	False	False	not_assessed
gen_142	87	True	False	False	False	not_assessed
gen_143	112	True	False	False	False	not_assessed
gen_144	99	True	False	False	False	not_assessed
gen_145	91	True	False	False	False	not_assessed
gen_146	307	True	False	False	False	not_assessed
gen_147	97	True	False	False	False	not_assessed
gen_148	76	True	False	False	False	not_assessed
gen_149	87	True	False	False	False	not_assessed
gen_150	97	True	False	False	False	not_assessed
gen_151	92	True	False	False	False	not_assessed
gen_152	103	True	False	False	False	not_assessed
gen_153	107	True	False	False	False	not_assessed
gen_154	121	True	False	False	False	not_assessed
gen_155	98	True	False	False	False	not_assessed
gen_156	93	True	False	False	False	not_assessed
gen_157	104	True	False	False	False	not_assessed
gen_158	115	True	False	False	False	not_assessed
gen_159	114	True	False	False	False	not_assessed
gen_160	90	True	False	False	False	not_assessed
gen_161	70	True	False	False	False	not_assessed
gen_162	92	True	False	False	False	not_assessed
gen_163	96	True	False	False	False	not_assessed
gen_164	97	True	False	False	False	not_assessed
gen_165	91	True	False	False	False	not_assessed
gen_166	98	True	False	False	False	not_assessed
gen_167	512	True	True	False	False	not_assessed
gen_168	305	True	False	False	False	not_assessed
gen_169	119	True	False	False	False	not_assessed
gen_170	103	True	False	False	False	not_assessed
gen_171	92	True	False	False	False	not_assessed
gen_172	304	True	False	False	False	not_assessed
gen_173	86	True	False	False	False	not_assessed
gen_174	96	True	False	False	False	not_assessed
gen_175	101	True	False	False	False	not_assessed
gen_176	92	True	False	False	False	not_assessed
gen_177	125	True	False	False	False	not_assessed
gen_178	104	True	False	False	False	not_assessed
gen_179	87	True	False	False	False	not_assessed
gen_180	93	True	False	False	False	not_assessed
gen_181	106	True	False	False	False	not_assessed
gen_182	113	True	False	False	False	not_assessed
gen_183	97	True	False	False	False	not_assessed
gen_184	112	True	False	False	False	not_assessed
gen_185	299	True	False	False	False	not_assessed
gen_186	395	True	False	False	False	not_assessed
gen_187	490	True	False	False	False	not_assessed
gen_188	482	True	False	False	False	not_assessed
gen_189	77	True	False	False	False	not_assessed
gen_190	97	True	False	False	False	not_assessed
gen_191	84	True	False	False	False	not_assessed
gen_192	90	True	False	False	False	not_assessed
gen_193	104	True	False	False	False	not_assessed
gen_194	99	True	False	False	False	not_assessed
gen_195	84	True	False	False	False	not_assessed
gen_196	91	True	False	False	False	not_assessed
gen_197	97	True	False	False	False	not_assessed
gen_198	93	True	False	False	False	not_assessed
gen_199	120	True	False	False	False	not_assessed
