sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review
vae_candidate_000002	84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	True	False	eos	90	89	True	False	False	False	True	0.042280620427150535	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	89	nat_75679c0d4db585656573	"[""nat_75679c0d4db585656573""]"	1	92	212.0	102	79	56	0.7088607594936709	0.8876404494382022	0.8586956521739131	0.6086956521739131	0.3913043478260869	resolved		346	184	True
vae_candidate_000003	47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	True	False	eos	117	116	True	False	False	False	True	0.01531141532655192	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	116	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_05d62502987d9405b8af"", ""nat_4dc9c1477d3d6b181da7"", ""nat_8f3e753527c876cd94f0""]"	4	94	328.0	117	93	80	0.8602150537634409	0.8017241379310345	0.9893617021276596	0.6896551724137931	0.31034482758620685	resolved		346	102	True
vae_candidate_000004	63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	True	False	eos	98	97	True	False	False	False	True	0.050351939909479365	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	97		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000005	610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	True	False	eos	93	92	True	False	False	False	True	0.02435655055421019	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	92	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8"", ""nat_ccd25408209dd226eaf9""]"	2	94	232.5	110	76	61	0.8026315789473685	0.8260869565217391	0.8085106382978723	0.648936170212766	0.35106382978723405	resolved		346	154	True
vae_candidate_000006	33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	True	False	eos	79	78	True	False	False	False	True	0.04413016991197222	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	78	nat_34e09ae9d7236edc844b	"[""nat_34e09ae9d7236edc844b""]"	1	85	192.0	89	74	48	0.6486486486486487	0.9487179487179487	0.8705882352941177	0.5647058823529412	0.43529411764705883	resolved		346	137	True
vae_candidate_000007	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	True	False	eos	55	54	True	False	False	False	True	0.19335929982427932	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 2, ""end"": 7, ""length"": 6, ""residue"": ""T""}, {""start"": 27, ""end"": 34, ""length"": 8, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail	54		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000008	8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	True	False	eos	113	112	True	False	False	False	True	0.04329977099141705	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	112	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	54.5	133	90	37	0.4111111111111111	0.8035714285714286	0.8108108108108109	0.33035714285714285	0.6696428571428572	resolved		346	1	True
vae_candidate_000009	196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	True	False	eos	78	77	True	False	False	False	True	0.042648412574083874	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	77	nat_2dee131e85e06a8f9fdd	"[""nat_2dee131e85e06a8f9fdd""]"	1	76	152.0	89	64	37	0.578125	0.8311688311688312	0.8421052631578947	0.4805194805194805	0.5194805194805194	resolved		346	18	True
vae_candidate_000010	3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	True	False	eos	90	89	True	False	False	False	True	0.03519565836819577	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	89	nat_dc6aa26cbe06c32b68c2	"[""nat_dc6aa26cbe06c32b68c2""]"	1	94	96.0	101	82	41	0.5	0.9213483146067416	0.8723404255319149	0.43617021276595747	0.5638297872340425	resolved		346	180	True
vae_candidate_000011	24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	True	False	eos	77	76	True	False	False	False	True	0.03095272747394158	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	76	nat_13dff233b6dfd04cb79c	"[""nat_13dff233b6dfd04cb79c"", ""nat_1ed909a554bd91f8870f"", ""nat_2a93193629740c6b70af"", ""nat_440c141d3d83ed043c33""]"	4	76	193.0	84	68	49	0.7205882352941176	0.8947368421052632	0.8947368421052632	0.6447368421052632	0.35526315789473684	resolved		346	96	True
