reference_id	source_path	source_record_index	source_id	source_accession	source_header	sequence_sha256	length	annotated_family	annotation_reasons	seed_eligible	reference_status	fold	cluster_id	pf00741_pass	pf00741_score	pf00741_coverage	family_status	best_family	family_margin	classification_reason
nat_49cef355c6ba3187ae5c	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	1	P08958	P08958	P08958 gvpa reviewed Gas vesicle protein A1	49cef355c6ba3187ae5c9104097887f71b46d34a1bb4fd051de140f31dbffc07	76	gvpa		True	high_confidence_gvpa	2	cluster_04e4c15b93bd18832d36	True	50.9	0.9743589743589743	supported_gvpa	gvpa	72.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_2d8e972f7b8e0b149992	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	2	P24374	P24374	P24374 gvpj reviewed Gas vesicle protein J1	2d8e972f7b8e0b1499926fc093208ce3c9b08dff9f2fe3b056dd570e19fd52a9	114	gvpj		True	gvpj_negative_control	0	cluster_2d8e972f7b8e0b149992	True	53.3	0.9743589743589743	other_gvp	gvpj	67.6	competitive_gvpj_support;competitive_sequence_agreement
nat_766d45336d56f5b42f24	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	3	P08959	P08959	P08959 gvpa reviewed Gas vesicle protein A2	766d45336d56f5b42f24327e8017dcef111a6d0d9ef09d065ff599ed28c3610e	79	gvpa		True	high_confidence_gvpa	2	cluster_04e4c15b93bd18832d36	True	53.6	1.0	supported_gvpa	gvpa	71.8	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_e4530a471497a647eef2	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	4	P10397	P10397	P10397 gvpa reviewed Gas vesicle protein A	e4530a471497a647eef21f92f9c50626148b65fbacae7b18cec4b118bdc7630c	71	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	61.3	1.0	supported_gvpa	gvpa	78.4	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_39696a92cfeac6f208a2	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	5	P23761	P23761	P23761 gvpa reviewed Gas vesicle protein A	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	78	gvpa		True	high_confidence_gvpa	2	cluster_04e4c15b93bd18832d36	True	53.6	1.0	supported_gvpa	gvpa	71.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_bf0dfc6c51956e5d54f7	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	6	O33397	O33397	O33397 gvpa reviewed Gas vesicle protein A	bf0dfc6c51956e5d54f7904eabcfda2aca05adff69b9fb1a544c2635718dc258	78	gvpa		True	high_confidence_gvpa	2	cluster_04e4c15b93bd18832d36	True	49.9	1.0	supported_gvpa	gvpa	70.1	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_626bf126ff6a42e860e1	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	7	O68680	O68680	O68680 gvpa reviewed Gas vesicle protein A1	626bf126ff6a42e860e1c20b32f28779f549346c7554d3694e519c08b6d8a44f	86	gvpa		True	high_confidence_gvpa	0	cluster_00eda75e8d86c0000a3e	True	56.7	1.0	supported_gvpa	gvpa	72.6	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_83cf4bae954290aa781d	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	8	P07060	P07060	P07060 gvpa reviewed Gas vesicle protein A	83cf4bae954290aa781d919a49879399b8f8f6215eafe44d5ab3358539071424	71	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	59.7	1.0	supported_gvpa	gvpa	79.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_25392f5e22598da498d2	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	9	P08412	P08412	P08412 gvpa reviewed Gas vesicle protein A	25392f5e22598da498d2e3fb7596061a17c7e12ca6d0c6f3ea3a0b64d7514d6a	71	gvpa	empty_or_nonstandard_sequence	False	excluded_or_unresolved			False		0.0	unsupported			empty_or_nonstandard_sequence
nat_9246ded62fef238baf63	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	10	P0A3G1	P0A3G1	P0A3G1 gvpa reviewed Gas vesicle protein A	9246ded62fef238baf63231483e047bdc014a8a22dd10e95f7999ab152e2ce4c	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	62.7	1.0	supported_gvpa	gvpa	81.19999999999999	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
