sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	family_sequence_sha256	family_sequence_length	family_pf00741_status	family_pf00741_score	family_pf00741_sequence_score	family_pf00741_coverage	family_best_family	family_best_family_score	family_second_family	family_second_family_score	family_family_margin	family_best_model_coverage	family_best_query_coverage	family_family_status	family_classification_reason	family_gvpa_score	family_gvpj_score	family_hmm_family_status	family_similarity_best_family	family_similarity_best_reference	family_similarity_effective_identity	family_similarity_query_coverage	family_similarity_target_coverage	family_similarity_second_family	family_similarity_second_identity	family_similarity_margin	pool	pool_reason
vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	true	false	eos	84	True	False	False	False	True	0.017018031925956238	0.06381829728796119	False	True	False	[]	True	False	[]	True		b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	84	pass	60.3	60.9	1.0	gvpa	120.3	gvpj	54.8	65.5	0.6216216216216216	0.8214285714285714	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	120.3	54.8	supported_gvpa	gvpa	nat_30c8db5b2a48ec02340b	0.7659574468085106	1.0	0.9361702127659575	gvpj	0.5476190476190477	0.21833839918946296	main_supported_gvpa	qc_and_competitive_gvpa_and_pf00741_pass
vae_candidate_000002	84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	true	false	eos	89	True	False	False	False	True	0.0422806204271505	0.06381829728796119	False	True	False	[]	True	False	[]	True		84a6400a25998253960e1b4a6525a8fd85d296fe01c3107533a60fe1ae91cdf7	89	pass	58.6	59.1	1.0			gvpa	106.9		0.0	0.0	unsupported	no_qualified_subfamily_hit	106.9	48.6	unsupported	gvpa	nat_b5ccff48f879b7cc34ad	0.5652173913043478	0.8426966292134831	0.8369565217391305	gvpj	0.5393258426966292	0.025891548607718584	excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000003	47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	true	false	eos	116	True	False	False	False	True	0.015311415326551912	0.06381829728796119	False	True	False	[]	True	False	[]	True		47432c07ec69e6a40c297e83407158873933eb3304e55cee8c0b349bda5e6807	116	pass	50.0	50.0	0.9230769230769231			gvpa	101.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	101.4	43.2	unsupported	gvpa	nat_0101bc590c89813c161a	0.5	0.7672413793103449	0.776595744680851	gvpj	0.3448275862068966	0.15517241379310343	excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000004	63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	true	false	eos	97	True	False	False	False	True	0.05035193990947934	0.06381829728796119	False	True	False	[]	True	False	[]	True		63405740fb4dabcdb410c6b2336aaa5e9d83bc9fe5a849d43eb042fb58591c05	97	fail			0.0			gvpa	0.9		0.0	0.0	unsupported	no_qualified_subfamily_hit	0.9		unsupported									excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000005	610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	true	false	eos	92	True	False	False	False	True	0.02435655055421027	0.06381829728796119	False	True	False	[]	True	False	[]	True		610184726c153a1e303297f1df4fd80b864ff309610aad67032e33a0f4b6c9aa	92	pass	56.1	56.1	1.0			gvpa	75.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	75.5	40.0	unsupported	gvpa	nat_c8490949e18e771ed8c8	0.6063829787234043	0.9347826086956522	0.7659574468085106	gvpj	0.4673913043478261	0.1389916743755782	excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000006	33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	true	false	eos	78	True	False	False	False	True	0.044130169911972245	0.06381829728796119	False	True	False	[]	True	False	[]	True		33eb79fe575f5d01e2ab70ff3a0cf6a8f0d2916ac6bf65fd60bac2a92dbc0319	78	pass	58.0	72.5	1.0			gvpa	83.3		0.0	0.0	unsupported	no_qualified_subfamily_hit	83.3	51.1	unsupported	gvpa	nat_70e926d855b20edca8f9	0.5256410256410257	0.8076923076923077	0.8461538461538461	gvpj	0.45348837209302323	0.07215265354800243	excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000007	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	true	false	eos	54	True	False	False	False	True	0.1933592998242794	0.06381829728796119	True	True	False	[]	True	False	[]	True	composition_outlier_warning	acb0ca21c093430ec762163af6c29386bcbb7d9885decf2bd756db9e80439863	54	fail			0.0			gvpa	1.7		0.0	0.0	unsupported	no_qualified_subfamily_hit	1.7		unsupported									excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000008	8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	true	false	eos	112	True	False	False	False	True	0.043299770991417075	0.06381829728796119	False	True	False	[]	True	False	[]	True		8a903f275ad48102db528e5e5d9fd0be294fe55afb3f576f91c8b1d9ae3a8d38	112	fail	0.4	1.3	0.1794871794871795			gvpa	21.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	21.2		unsupported									excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000009	196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	true	false	eos	77	True	False	False	False	True	0.04264841257408388	0.06381829728796119	False	True	False	[]	True	False	[]	True		196a7b1b1710b41bae60050215a212f7511aaadef9bc76f105d6d4e0c9bdcda9	77	pass	56.3	57.2	0.9230769230769231			gvpa	66.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	66.2	40.6	unsupported	gvpa	nat_819e640008ab1349cc70	0.44155844155844154	0.7532467532467533	0.7301587301587301				excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000010	3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	true	false	eos	89	True	False	False	False	True	0.035195658368195715	0.06381829728796119	False	True	False	[]	True	False	[]	True		3d335b7733956166f1bf6e875825d4f5fd71e3220760e71cb1840a6b8ee422e8	89	fail	3.1	3.6	0.23076923076923078			gvpa	3.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	3.5	0.2	unsupported	gvpa	nat_004ac783975534947324	0.4148936170212766	0.8876404494382022	0.9680851063829787				excluded	qc_pass_but_not_supported_gvpa
vae_candidate_000011	24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	true	false	eos	76	True	False	False	False	True	0.030952727473941566	0.06381829728796119	False	True	False	[]	True	False	[]	True		24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	76	pass	54.6	54.9	1.0			gvpa	111.0		0.0	0.0	unsupported	no_qualified_subfamily_hit	111.0	52.1	unsupported	gvpa	nat_509ca7d230eacbb916e4	0.618421052631579	0.881578947368421	0.8947368421052632	gvpj	0.6052631578947368	0.013157894736842146	excluded	qc_pass_but_not_supported_gvpa
