sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason
vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	True	False	eos	85	84	True	False	False	False	True	0.017018031926	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	308	94	82	72	0.878048780488	0.97619047619	0.891304347826	0.782608695652	0.217391304348	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	vae_candidate_000857	0.7717372826	0.2282627174	True	0.217391304348	0.326581450718	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	0	1	0	1	0	84	0.762962962963	0.249169551289	0.486206588326	136	True	
vae_candidate_000018	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	True	False	eos	99	98	True	False	False	False	True	0.0383010979288	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	98	nat_0145b7d0415b25474bf7	"[""nat_0145b7d0415b25474bf7"", ""nat_168a7720be25950ce7a5"", ""nat_3e6bf91c590be6684eed"", ""nat_4f76b230eb60279eb5dd"", ""nat_9ca97034ea4d97950343"", ""nat_a9c10692b45d32f772b4"", ""nat_acb38079c01f07d0de6f"", ""nat_bf5abb4d953e0d6aaa1f"", ""nat_c0d8f1302fa41452efbc"", ""nat_c468502803b4ab5981f1"", ""nat_d5d6f3cedb33fb3328b6"", ""nat_dbd11e06d90ad48401af""]"	12	95	258	103	90	62	0.688888888889	0.918367346939	0.947368421053	0.632653061224	0.367346938776	resolved		346	159	True	no_extra_domain_evidence		1	0	PF00741:12-52	no_extra_tm_evidence	0		base:manual_review	True	detected	48.9	4.2e-15	2.2e-15	49.8	1	True	0.3606557377	1	39	12	52	23	23	23	1	1	nat_67dd37821af98e87666e	0.60396	0.6224485714	1	1	2.19e-33	vae_candidate_000913	0.6326530612	0.3673469388	True	0.367346938776	0.447036214628	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	17	1	0	1	17	98	0.8	0.357628971703	0.557628971703	136	True	
vae_candidate_000020	ae8c524e0e385be95a4a7dd5c033ce06143a99f3991eb736fd2152038c13221e	True	False	eos	108	107	True	False	False	False	True	0.0192509503907	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	107	nat_d80e058d93177215aa4b	"[""nat_d80e058d93177215aa4b""]"	1	95	376.5	109	93	88	0.94623655914	0.869158878505	0.978947368421	0.822429906542	0.177570093458	resolved		346	142	False	no_extra_domain_evidence		1	0	PF00741:12-54	no_extra_tm_evidence	0			False	detected	45.9	3.8e-14	6e-16	51.6	1	True	0.2786885246	1	39	12	54	23	23	23	1	1	nat_acb38079c01f07d0de6f	0.80189	0.7943957009	0.9906542056	1	2.96e-44	vae_candidate_000967	0.8037375701	0.1962624299	True	0.177570093458	0.338296160573	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	19	1	0	1	19	107	0.792592592593	0.268131030972	0.47553843838	136	True	
vae_candidate_000029	3242d585e56968b6b6d3779a84c6879dd2750e5c60057092d7c0c3c71bae79ae	True	False	eos	91	90	True	False	False	False	True	0.0187212744966	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	90	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8""]"	1	94	382.5	95	89	83	0.932584269663	0.988888888889	0.946808510638	0.882978723404	0.117021276596	resolved		346	196	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	59.7	1.9e-18	1.3e-18	60.2	1	True	0.9590163934	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.89773	0.8586982609	0.9777777778	0.9565217391	7.53e-54	vae_candidate_000857	0.84783	0.15217	True	0.117021276596	0.284272458007	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	28	1	0	1	28	90	0.851851851852	0.242158019784	0.390306167932	136	True	
vae_candidate_000032	e44eaae089f627a5f9e9d800adbf5abc109a4bf622b625468f765a919c99cdbb	True	False	eos	98	97	True	False	False	False	True	0.0182261922264	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	97	nat_0ae199fc6d044a2da135	"[""nat_0ae199fc6d044a2da135""]"	1	95	323.5	97	95	67	0.705263157895	0.979381443299	1	0.690721649485	0.309278350515	resolved		346	166	False	no_extra_domain_evidence		1	0	PF00741:14-52	no_extra_tm_evidence	0			False	detected	42.9	3.2e-13	2.2e-13	43.4	1	True	0.09016393443	1	39	14	52	23	23	22	1	0.9565217391	nat_0ae199fc6d044a2da135	0.75581	0.6700995876	0.8865979381	0.9052631579	3.97e-44	vae_candidate_000121	0.6597913402	0.3402086598	True	0.309278350515	0.44068825349	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	31	1	0	1	31	97	0.837037037037	0.368872389959	0.531835352922	136	True	
vae_candidate_000034	36662d33f08471ea31758b191a75d6473722ebfb5002258e1899528823e73149	True	False	eos	93	92	True	False	False	False	True	0.0140989052468	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	92	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_9ca97034ea4d97950343"", ""nat_dc6aa26cbe06c32b68c2""]"	3	94	375.5	96	90	83	0.922222222222	0.978260869565	0.957446808511	0.882978723404	0.117021276596	resolved		346	184	True	no_extra_domain_evidence		1	0	PF00741:8-46	no_extra_tm_evidence	0		base:manual_review	True	detected	59.2	2.6e-18	1.9e-18	59.6	1	True	0.9098360656	1	39	8	46	23	23	23	1	1	nat_a36a3359d46f89a3e9c6	0.91011	0.8709654839	0.9673913043	0.9569892473	1.26e-41	vae_candidate_000070	0.8913055435	0.1086944565	True	0.117021276596	0.275367717543	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	33	1	0	1	33	92	0.807407407407	0.222333934905	0.414926527498	136	True	
vae_candidate_000058	860f4a13c1f3f2220ee1db107ba1c07d4dbdf710a6ab08f42819b416d6d09fac	True	False	eos	87	86	True	False	False	False	True	0.0194972757071	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	86	nat_970873de163a6ff8ee05	"[""nat_970873de163a6ff8ee05""]"	1	88	295.5	90	84	67	0.797619047619	0.976744186047	0.954545454545	0.761363636364	0.238636363636	resolved		346	206	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.7	3.7e-18	2.8e-18	59.1	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.78652	0.7368450526	1	0.9368421053	5.73e-43	vae_candidate_000905	0.7499967391	0.2500032609	True	0.238636363636	0.344075207233	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	57	1	0	1	57	86	0.814814814815	0.280357576264	0.465542761449	136	True	
vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	True	False	eos	111	110	True	False	False	False	True	0.032939625815	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	110	nat_7ee1d64f80049d71603c	"[""nat_7ee1d64f80049d71603c""]"	1	95	141	113	92	46	0.5	0.836363636364	0.968421052632	0.418181818182	0.581818181818	resolved		346	118	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	46.4	2.7e-14	1.7e-14	47	1	True	0.2786885246	1	39	19	57	23	23	20	1	0.8695652174	nat_8bfb3056e00dc3525ee8	0.66667	0.4413815172	0.8727272727	0.6620689655	1.12e-36	vae_candidate_000894	0.4460418705	0.5539581295	True	0.581818181818	0.624763575354	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	60	1	0	1	60	110	0.674074074074	0.421136928572	0.747062854498	136	True	
vae_candidate_000065	21818a9b303af01ae846a79041186c50c69d49abd6a9a29662c47d5f8daf4294	True	False	eos	82	81	True	False	False	False	True	0.030710471978	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	81	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_168a7720be25950ce7a5"", ""nat_215f48254c804f1f2876"", ""nat_3e6bf91c590be6684eed"", ""nat_8189ed3c9ac18707f549"", ""nat_9ca97034ea4d97950343""]"	6	94	285	95	80	69	0.8625	0.987654320988	0.851063829787	0.734042553191	0.265957446809	resolved		346	217	True	no_extra_domain_evidence		1	0	PF00741:12-51	no_extra_tm_evidence	0		base:manual_review	True	detected	52.6	2.9e-16	2.9e-16	52.6	1	True	0.4918032787	1	39	12	51	23	23	23	1	1	nat_64b87c36790fe3acd4ba	0.70833	0.7234008511	1	1	6.9e-36	vae_candidate_000582	0.7558131395	0.2441868605	True	0.265957446809	0.328601641831	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	64	1	0	1	64	81	0.666666666667	0.219067761221	0.552401094554	136	True	
vae_candidate_000070	13aea4139dbbe80aa0ac0a0547cfdd81972b9c67754b9431cb258d9c9f0deff5	True	False	eos	92	91	True	False	False	False	True	0.0157836970618	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	91	nat_a49cfe7d33cec22c3905	"[""nat_a49cfe7d33cec22c3905""]"	1	95	420.5	95	91	89	0.978021978022	1	0.957894736842	0.936842105263	0.0631578947368	resolved		346	186	False	no_extra_domain_evidence		1	0	PF00741:8-46	no_extra_tm_evidence	0			False	detected	60	1.4e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	8	46	23	23	23	1	1	nat_a49cfe7d33cec22c3905	0.93684	0.93684	1	1	2.33e-58	vae_candidate_000623	0.91398	0.08602	True	0.0631578947368	0.257351464613	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	69	1	0	1	69	91	0.807407407407	0.207787478836	0.400380071428	136	True	
