sequence_id	sequence_sha256	cluster_id	length	release_status	reasons	source_accessions
nat_49cef355c6ba3187ae5c	49cef355c6ba3187ae5c9104097887f71b46d34a1bb4fd051de140f31dbffc07	cluster_04e4c15b93bd18832d36	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	AAC82809|gvpA|protein;P08958;WP_010890519.1;WP_010890519|gvpA|protein;sp|P08958|gvpA|protein
nat_766d45336d56f5b42f24	766d45336d56f5b42f24327e8017dcef111a6d0d9ef09d065ff599ed28c3610e	cluster_04e4c15b93bd18832d36	79	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	CAM2938561|gvpA|protein;P08959;QCC46023|gvpA|protein;QRY21670|gvpA|protein;QRY26281|gvpA|protein;UEB93266|gvpA|protein;WJK64891|gvpA|protein;WP_010904108.1;WP_010904108|gvpA|protein;WWX76702|gvpA|protein;WXL16392|gvpA|protein;sp|P08959|gvpA|protein
nat_e4530a471497a647eef2	e4530a471497a647eef21f92f9c50626148b65fbacae7b18cec4b118bdc7630c	cluster_044b97bbcc6fc75d19af	71	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	P10397;QSV53785|gvpA|protein;QSV53786|gvpA|protein;QSV53787|gvpA|protein;QSV53788|gvpA|protein;QSV53789|gvpA|protein;QSV53790|gvpA|protein;QSV53791|gvpA|protein;QSV53792|gvpA|protein;QSV53793|gvpA|protein;QSV57705|gvpA|protein;QSV57706|gvpA|protein;QSV57707|gvpA|protein;QSV57708|gvpA|protein;QSV57709|gvpA|protein;QSV57710|gvpA|protein;QSV57711|gvpA|protein;QSV57712|gvpA|protein;QSV57713|gvpA|protein;QSV64460|gvpA|protein;QSV64461|gvpA|protein;QSV64462|gvpA|protein;QSV64463|gvpA|protein;QSV64464|gvpA|protein;QSV64465|gvpA|protein;QSV64466|gvpA|protein;QSV64467|gvpA|protein;QSV64468|gvpA|protein;QSV64469|gvpA|protein;QSV67445|gvpA|protein;QSV67446|gvpA|protein;QSV67447|gvpA|protein;QSV67448|gvpA|protein;QSV67449|gvpA|protein;QSV67450|gvpA|protein;QSV67451|gvpA|protein;QSV73201|gvpA|protein;QSV73202|gvpA|protein;QSV73203|gvpA|protein;QSV73204|gvpA|protein;QSV73205|gvpA|protein;QSV73206|gvpA|protein;QSV73207|gvpA|protein;QSV73208|gvpA|protein;QSX67268|gvpA|protein;QSX67269|gvpA|protein;QSX67270|gvpA|protein;QSX67271|gvpA|protein;QSX67272|gvpA|protein;QSX67273|gvpA|protein;QSX67274|gvpA|protein;QSX67275|gvpA|protein;UUO14152|gvpA|protein;UUO14153|gvpA|protein;UUO14154|gvpA|protein;UUO14155|gvpA|protein;UUO14156|gvpA|protein;UUO14157|gvpA|protein;UUO14158|gvpA|protein;WP_015080752.1;WP_015080752|gvpA|protein;XVE11296|gvpA|protein;XVE11297|gvpA|protein;XVE11298|gvpA|protein;XVE11299|gvpA|protein;XVE11300|gvpA|protein;XVE11301|gvpA|protein;XVE11302|gvpA|protein;XVE11303|gvpA|protein;XWU45082|gvpA|protein;XWU45083|gvpA|protein;XWU45084|gvpA|protein;XWU45085|gvpA|protein;XWU45086|gvpA|protein;sp|P10397|gvpA|protein
nat_39696a92cfeac6f208a2	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	P23761;QCQ75864|gvpA|protein;WP_004056706.1;WP_004056706|gvpA|protein;sp|P23761|gvpA|protein
nat_bf0dfc6c51956e5d54f7	bf0dfc6c51956e5d54f7904eabcfda2aca05adff69b9fb1a544c2635718dc258	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	O33397;WP_089386074.1;WP_089386074|gvpA|protein;sp|O33397|gvpA|protein
nat_626bf126ff6a42e860e1	626bf126ff6a42e860e1c20b32f28779f549346c7554d3694e519c08b6d8a44f	cluster_00eda75e8d86c0000a3e	86	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	CAI8752950|gvpA|protein;CAI8857590|gvpA|protein;O68680;QSF26098|gvpA|protein;QSF35100|gvpA|protein;QSF37356|gvpA|protein;QSX18856|gvpA|protein;UKJ79038|gvpA|protein;UMZ31401|gvpA|protein;UOO43213|gvpA|protein;UPK51853|gvpA|protein;USD14641|gvpA|protein;USL22891|gvpA|protein;USL28899|gvpA|protein;USL34535|gvpA|protein;UYO23587|gvpA|protein;UYP09873|gvpA|protein;UYT86706|gvpA|protein;UYV51236|gvpA|protein;WDC86712|gvpA|protein;WDM35816|gvpA|protein;WEZ34108|gvpA|protein;WEZ39259|gvpA|protein;WEZ60937|gvpA|protein;WJD79171|gvpA|protein;WJN43138|gvpA|protein;WJW97760|gvpA|protein;WPL45744|gvpA|protein;WP_013058000.1;WP_013058000|gvpA|protein;WRQ90840|gvpA|protein;WVE34854|gvpA|protein;WWB87672|gvpA|protein;WWT03980|gvpA|protein;WWW24790|gvpA|protein;WZV52402|gvpA|protein;WZW15781|gvpA|protein;XFC41967|gvpA|protein;XGR39791|gvpA|protein;XGR55801|gvpA|protein;XGY01618|gvpA|protein;XHB84238|gvpA|protein;XLF48753|gvpA|protein;XOK74184|gvpA|protein;XON68226|gvpA|protein;XQN03179|gvpA|protein;XRD01373|gvpA|protein;XRD07142|gvpA|protein;XSD05886|gvpA|protein;XSD11305|gvpA|protein;XSD27063|gvpA|protein;XSD36531|gvpA|protein;XSD59669|gvpA|protein;XSD65231|gvpA|protein;XSZ24741|gvpA|protein;XSZ30795|gvpA|protein;XVD65513|gvpA|protein;XVG47517|gvpA|protein;YBV88867|gvpA|protein;YCA96757|gvpA|protein;sp|O68680|gvpA|protein
nat_83cf4bae954290aa781d	83cf4bae954290aa781d919a49879399b8f8f6215eafe44d5ab3358539071424	cluster_044b97bbcc6fc75d19af	71	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	P07060;QOV23458|gvpA|protein;UYD24661|gvpA|protein;UYD24662|gvpA|protein;UYD33109|gvpA|protein;UYD33110|gvpA|protein;WP_045871251.1;WP_045871251|gvpA|protein;WYL94292|gvpA|protein;WYL94293|gvpA|protein;WYL94294|gvpA|protein;WYL94295|gvpA|protein;WYL99908|gvpA|protein;WYL99909|gvpA|protein;WYL99911|gvpA|protein;XHR82201|gvpA|protein;XHR82202|gvpA|protein;XHR82203|gvpA|protein;XNO56025|gvpA|protein;XZF63070|gvpA|protein;XZF63071|gvpA|protein;XZF63072|gvpA|protein;XZF63073|gvpA|protein;sp|P07060|gvpA|protein
nat_9246ded62fef238baf63	9246ded62fef238baf63231483e047bdc014a8a22dd10e95f7999ab152e2ce4c	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	CAC5341517|gvpA|protein;CAC5341519|gvpA|protein;CAC5341520|gvpA|protein;CAD0230966|gvpA|protein;CAD0230967|gvpA|protein;CAD5926182|gvpA|protein;CAD5926215|gvpA|protein;CAD5926239|gvpA|protein;CAD5926256|gvpA|protein;CAD5926320|gvpA|protein;CAD5926328|gvpA|protein;CAD5926884|gvpA|protein;CAD5926917|gvpA|protein;CAD5926951|gvpA|protein;CAD5926986|gvpA|protein;CAD5929429|gvpA|protein;CAD5929444|gvpA|protein;CAD5929460|gvpA|protein;CAD5929524|gvpA|protein;CAD5929540|gvpA|protein;CAD5929560|gvpA|protein;CAD5929580|gvpA|protein;CAD5931729|gvpA|protein;CAD5931755|gvpA|protein;CAD5931775|gvpA|protein;CAD5932433|gvpA|protein;CAD5932456|gvpA|protein;CAD5932467|gvpA|protein;CAD5935148|gvpA|protein;CAD5935169|gvpA|protein;CAD5941065|gvpA|protein;CAD5941081|gvpA|protein;CAD5941113|gvpA|protein;CAD5941148|gvpA|protein;CAD5945651|gvpA|protein;CAD5945655|gvpA|protein;CAD5949465|gvpA|protein;CAD5959744|gvpA|protein;CAH2571870|gvpA|protein;CUM61313|gvpA|protein;P0A3G0;P0A3G1;SKB14388|gvpA|protein;VXD24309|gvpA|protein;WP_026789190.1;WP_026789190|gvpA|protein;sp|P0A3G0|gvpA|protein;sp|P0A3G1|gvpA|protein
nat_278c7a3fd12af0319695	278c7a3fd12af0319695fae40d23ee8f76abf60d19c5e52b3b9dab1e368567ba	cluster_02e83ad46b86e8eaf5e7	71	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q8XFU1;UKO95985|gvpA|protein;UKP00211|gvpA|protein;UKP00212|gvpA|protein;UYD29373|gvpA|protein;UYD34721|gvpA|protein;WP_010996411.1;WP_010996411|gvpA|protein;XPT18807|gvpA|protein;XPT18808|gvpA|protein;XPT26586|gvpA|protein;XPT26587|gvpA|protein;XTB90403|gvpA|protein;XTB90404|gvpA|protein;XTB90405|gvpA|protein;sp|Q8XFU1|gvpA|protein
nat_5bc7120641a4b206dec6	5bc7120641a4b206dec615e69a9573322282b0869275b3db5d6e281c748b2aff	cluster_02e83ad46b86e8eaf5e7	72	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	A5G5E4;WP_011939686.1;WP_011939686|gvpA|protein;sp|A5G5E4|gvpA|protein
