sequence_id	frequency
vae_candidate_000001	1
vae_candidate_000018	0
vae_candidate_000020	0
vae_candidate_000029	0
vae_candidate_000032	0
vae_candidate_000034	0
vae_candidate_000058	0.72
vae_candidate_000061	0.145
vae_candidate_000065	0
vae_candidate_000070	0
vae_candidate_000088	0
vae_candidate_000090	0
vae_candidate_000108	0
vae_candidate_000121	0
vae_candidate_000133	0
vae_candidate_000135	0
vae_candidate_000136	0
vae_candidate_000140	0
vae_candidate_000157	0
vae_candidate_000179	0.3
vae_candidate_000200	0
vae_candidate_000212	1
vae_candidate_000216	0
vae_candidate_000219	0
vae_candidate_000220	0.79
vae_candidate_000230	0
vae_candidate_000247	0
vae_candidate_000249	0
vae_candidate_000258	0
vae_candidate_000264	0
vae_candidate_000266	0
vae_candidate_000273	0
vae_candidate_000284	0
vae_candidate_000293	1
vae_candidate_000295	0
vae_candidate_000316	0
vae_candidate_000323	0
vae_candidate_000327	0
vae_candidate_000338	0
vae_candidate_000344	0
vae_candidate_000345	0.985
vae_candidate_000347	1
vae_candidate_000354	0
vae_candidate_000356	0
vae_candidate_000359	1
vae_candidate_000364	0.84
vae_candidate_000369	0
vae_candidate_000374	0
vae_candidate_000383	0
vae_candidate_000388	1
vae_candidate_000396	0.005
vae_candidate_000399	0
vae_candidate_000401	0
vae_candidate_000411	0
vae_candidate_000426	0
vae_candidate_000439	1
vae_candidate_000463	0
vae_candidate_000467	0
vae_candidate_000493	0.055
vae_candidate_000501	0
vae_candidate_000505	1
vae_candidate_000523	0
vae_candidate_000527	0
vae_candidate_000533	0
vae_candidate_000535	0
vae_candidate_000536	1
vae_candidate_000547	0
vae_candidate_000572	0
vae_candidate_000574	0
vae_candidate_000582	0
vae_candidate_000588	0
vae_candidate_000591	0
vae_candidate_000598	0
vae_candidate_000618	0
vae_candidate_000623	0
vae_candidate_000627	0.16
vae_candidate_000633	1
vae_candidate_000635	0
vae_candidate_000638	0
vae_candidate_000652	1
vae_candidate_000666	1
vae_candidate_000685	0
vae_candidate_000696	0
vae_candidate_000715	0
vae_candidate_000744	0
vae_candidate_000750	0
vae_candidate_000752	0
vae_candidate_000772	0
vae_candidate_000780	0
vae_candidate_000812	0
vae_candidate_000818	0
vae_candidate_000836	0
vae_candidate_000839	0
vae_candidate_000841	0
vae_candidate_000843	0
vae_candidate_000857	0
vae_candidate_000876	1
vae_candidate_000883	0
vae_candidate_000900	0
vae_candidate_000903	0
vae_candidate_000905	0
vae_candidate_000908	0
vae_candidate_000912	0
vae_candidate_000913	0
vae_candidate_000914	0
vae_candidate_000921	0
vae_candidate_000927	0
vae_candidate_000948	1
vae_candidate_000959	1
vae_candidate_000965	1
vae_candidate_000966	0
vae_candidate_000967	0
vae_candidate_000975	0
vae_candidate_000995	0
