sample	weight_constraint_score	weight_conservation_score	weight_novelty_score	weight_uniqueness_score	top_k_jaccard	rank_spearman
1	0.2575919263	0.2264763335	0.2654518427	0.2504798974	0.9047619048	0.9984831553
2	0.1972474915	0.2802695029	0.2600676969	0.2624153087	0.8181818182	0.9989985406
3	0.2154819914	0.2481136503	0.2400549818	0.2963493765	1	0.9970688992
4	0.2608061739	0.2784535605	0.2410325336	0.219707732	0.9047619048	0.9936077576
5	0.2534889302	0.2047905519	0.2805830538	0.2611374641	0.9047619048	0.994562808
6	0.2512735947	0.2145073905	0.2706433013	0.2635757135	0.9047619048	0.9965925953
7	0.2929688127	0.2314153885	0.2601053182	0.2155104806	0.9047619048	0.9966463322
8	0.2042055985	0.2543268299	0.2601766387	0.2812909329	0.9047619048	0.9990425071
9	0.2486101265	0.2533811429	0.2639736387	0.234035092	0.9047619048	0.9981656194
10	0.2241468222	0.2605360763	0.2343535443	0.2809635572	0.9047619048	0.998255995
11	0.2370202732	0.2754863801	0.2626088129	0.2248845338	1	0.9942745831
12	0.2746345693	0.2719684299	0.2315056323	0.2218913685	1	0.9954836622
13	0.2970806822	0.2369730449	0.2436351631	0.2223111098	0.9047619048	0.9989692295
14	0.2548005625	0.243639728	0.24732557	0.2542341396	0.9047619048	0.9997606268
15	0.2649127346	0.2767448408	0.2305322858	0.2278101388	0.9047619048	0.9956180043
16	0.2548682639	0.236022823	0.2450144458	0.2640944672	0.9047619048	0.9989057224
17	0.2621230782	0.2540507226	0.2546106177	0.2292155815	0.9047619048	0.998080129
18	0.2233963645	0.2680465952	0.243611296	0.2649457443	0.9047619048	0.9992452415
19	0.3026831693	0.2369717373	0.2183405503	0.242004543	0.9047619048	0.9992061602
20	0.2227559833	0.2585278359	0.248341368	0.2703748128	1	0.9992965358
21	0.2650611547	0.239401133	0.2799548481	0.2155828643	0.9047619048	0.9936126428
22	0.217566186	0.2248089324	0.2928213801	0.2648035015	0.9047619048	0.9962604039
23	0.2272403912	0.2629647963	0.2262983531	0.2834964593	0.9047619048	0.997557416
24	0.2506571624	0.2439827864	0.2358355005	0.2695245507	1	0.9986419233
25	0.247845721	0.2190754241	0.2222609438	0.3108179111	0.9047619048	0.99251348
26	0.2682367477	0.2489738943	0.2089643211	0.2738250369	0.9047619048	0.9965339733
27	0.2719667712	0.2659122311	0.2397281952	0.2223928025	1	0.9960796527
28	0.2170821256	0.3005656433	0.2542966206	0.2280556105	0.9047619048	0.9914998076
29	0.2324889768	0.2600396349	0.2194645258	0.2880068624	0.9047619048	0.9965168752
30	0.2617840855	0.2580776084	0.2308061427	0.2493321634	1	0.9990938013
31	0.2654659811	0.2722203787	0.2141362531	0.2481773871	0.9047619048	0.997369337
32	0.2265944895	0.2768028278	0.2585864258	0.238016257	0.9047619048	0.9969736384
33	0.2149233079	0.2644025609	0.2217887053	0.2988854259	0.9047619048	0.9958378368
34	0.270504688	0.2459605759	0.2715374603	0.2119972757	0.9047619048	0.9932780088
35	0.2870623998	0.2408523643	0.2700025907	0.2020826452	0.9047619048	0.9907792454
36	0.2371199905	0.2375060584	0.280141977	0.2452319741	0.9047619048	0.9981143251
37	0.2578510466	0.2363228429	0.2430564311	0.2627696794	0.9047619048	0.9989789999
38	0.2395087059	0.1985286063	0.2775506746	0.2844120132	0.8181818182	0.9922130422
39	0.2258813995	0.2695523906	0.2225386016	0.2820276084	0.9047619048	0.9973302557
40	0.2185864824	0.2548243161	0.2612990236	0.2652901779	1	0.9997459713
41	0.2268490898	0.3138405762	0.2400304529	0.2192798811	0.9047619048	0.9875819029
42	0.241849392	0.2244380526	0.2678757138	0.2658368416	0.9047619048	0.997716184
43	0.229965844	0.2930622777	0.2273635197	0.2496083585	0.9047619048	0.9961065211
44	0.2399573034	0.3122943262	0.2302400233	0.2175083471	0.8181818182	0.9874182498
45	0.2200171959	0.2703687222	0.2612703756	0.2483437063	1	0.9988251171
46	0.2722276359	0.2724775786	0.2372023792	0.2180924064	1	0.9942672553
47	0.2799504096	0.2688058511	0.2397198677	0.2115238716	1	0.9932169442
48	0.2696358578	0.2220921761	0.2882893287	0.2199826375	0.9047619048	0.9927528532
49	0.2285872483	0.3048657812	0.2318744541	0.2346725165	0.9047619048	0.9928969657
50	0.2604408474	0.2880119759	0.2200681283	0.2314790485	0.9047619048	0.9945579228
51	0.2672156618	0.2859210707	0.2405976982	0.2062655692	0.9047619048	0.9883659724
52	0.2224588536	0.2462871976	0.2354805013	0.2957734475	1	0.9969076886
53	0.214249873	0.2530741085	0.2720504014	0.260625617	0.9047619048	0.9995823181
54	0.2103379592	0.268124538	0.2596415656	0.2618959371	1	0.9996726937
55	0.2224497247	0.2216873046	0.3055926021	0.2502703687	0.8181818182	0.9936492816
56	0.2210745796	0.2391025378	0.2558473331	0.2839755495	0.9047619048	0.9977870189
57	0.2335178557	0.2987146536	0.2068016474	0.2609658433	0.8181818182	0.9949487363
58	0.2832436447	0.2264569826	0.2301607125	0.2601386603	0.9047619048	0.9982315692
59	0.2625063302	0.2297452201	0.2595674192	0.2481810304	0.9047619048	0.9990864736
60	0.263071596	0.2969107675	0.2151412424	0.2248763941	0.8181818182	0.9918393268
61	0.2723313077	0.2691924621	0.2148907273	0.2435855029	0.9047619048	0.9974865811
62	0.2484419984	0.2733931202	0.2481647038	0.2300001777	1	0.9962848297
63	0.2300680123	0.2350777613	0.2569828155	0.277871411	0.9047619048	0.9979995237
64	0.2533862259	0.232109013	0.2309548697	0.2835498915	0.9047619048	0.9968441815
65	0.2939179774	0.2196925149	0.2156520399	0.2707374678	0.9047619048	0.9961333895
